0,1,2,3
2018-07-02,2753.4880,2809.4013,2697.5748
2018-06-29,2755.3395,2807.6875,2702.9916
2018-06-28,2756.1520,2806.6513,2705.6527
2018-06-27,2755.6000,2808.0336,2703.1664
2018-06-26,2756.8190,2804.9479,2708.6901
2018-06-25,2755.1590,2809.6947,2700.6234
2018-06-22,2755.3720,2809.3413,2701.4028
2018-06-21,2754.0160,2809.3131,2698.7190
2018-06-20,2753.1925,2809.2045,2697.1806
2018-06-19,2751.0485,2808.0080,2694.0891
2018-06-18,2749.5695,2806.7890,2692.3501
2018-06-15,2746.5305,2804.7378,2688.3233
2018-06-14,2743.5540,2800.7601,2686.3479
2018-06-13,2740.5525,2795.5279,2685.5772
2018-06-12,2737.3435,2791.2361,2683.4510
2018-06-11,2734.5075,2783.4203,2685.5947
2018-06-08,2731.7935,2775.6240,2687.9631
2018-06-07,2728.9955,2767.1892,2690.8019
2018-06-06,2725.3665,2760.8413,2689.8917
2018-06-05,2720.3450,2756.2256,2684.4645
2018-06-04,2716.5365,2755.5596,2677.5134
2018-06-01,2712.3640,2755.1824,2669.5456
2018-05-31,2707.1195,2761.8004,2652.4386
2018-05-30,2703.6395,2766.5830,2640.6960
2018-05-29,2700.1790,2765.8147,2634.5432
2018-05-25,2698.0885,2767.4625,2628.7144
2018-05-24,2695.5175,2765.0667,2625.9683
2018-05-23,2692.4765,2761.4367,2623.5162
2018-05-22,2687.7820,2757.7651,2617.7988
2018-05-21,2683.2880,2754.8045,2611.7715
2018-05-18,2680.1520,2748.0828,2612.2211
2018-05-17,2678.0105,2744.3498,2611.6712
2018-05-16,2676.6605,2740.5707,2612.7502
2018-05-15,2675.9695,2738.1597,2613.7792
2018-05-14,2675.7165,2737.3661,2614.0668
2018-05-11,2673.1020,2729.5119,2616.6921
2018-05-10,2669.5310,2720.4319,2618.6300
2018-05-09,2666.5770,2711.1735,2621.9804
2018-05-08,2663.7970,2707.1794,2620.4145
2018-05-07,2663.0445,2706.3593,2619.7297
2018-05-04,2660.0710,2708.2386,2611.9033
2018-05-03,2657.1235,2710.9883,2603.2586
2018-05-02,2658.7790,2711.1900,2606.3680
2018-05-01,2659.2300,2710.9890,2607.4710
2018-04-30,2657.2125,2712.5283,2601.8967
2018-04-27,2653.9040,2718.2022,2589.6057
2018-04-26,2652.4520,2716.5501,2588.3539
2018-04-25,2649.3550,2716.2770,2582.4329
2018-04-24,2648.0160,2716.7289,2579.3031
2018-04-23,2649.2155,2717.7843,2580.6467
2018-04-20,2645.1140,2717.8373,2572.3907
2018-04-19,2643.7915,2715.6026,2571.9804
2018-04-18,2644.7315,2719.5313,2569.9317
2018-04-17,2645.1465,2721.4372,2568.8557
2018-04-16,2645.4730,2722.8574,2568.0886
