0,1,2,3
2018-07-02,-3.8931,5.0293,-8.9224
2018-06-29,-2.0345,7.2599,-9.2944
2018-06-28,-0.4615,9.5835,-10.0450
2018-06-27,1.7627,12.0948,-10.3321
2018-06-26,6.2742,14.6778,-8.4035
2018-06-25,9.5557,16.7787,-7.2229
2018-06-22,14.2150,18.5844,-4.3693
2018-06-21,16.1055,19.6767,-3.5712
2018-06-20,18.8055,20.5695,-1.7641
2018-06-19,20.1901,21.0105,-0.8204
2018-06-18,22.1454,21.2157,0.9297
2018-06-15,23.1826,20.9832,2.1994
2018-06-14,23.5675,20.4334,3.1342
2018-06-13,23.4279,19.6498,3.7781
2018-06-12,23.6074,18.7053,4.9021
2018-06-11,22.3507,17.4798,4.8709
2018-06-08,20.9154,16.2621,4.6533
2018-06-07,19.0816,15.0987,3.9829
2018-06-06,17.3452,14.1030,3.2422
2018-06-05,14.6750,13.2925,1.3826
2018-06-04,13.4513,12.9468,0.5045
2018-06-01,11.8902,12.8207,-0.9304
2018-05-31,10.9721,13.0533,-2.0812
2018-05-30,12.6289,13.5736,-0.9447
2018-05-29,12.6519,13.8098,-1.1579
2018-05-25,15.9743,14.0992,1.8751
2018-05-24,16.7783,13.6305,3.1478
2018-05-23,16.9058,12.8435,4.0623
2018-05-22,16.2596,11.8279,4.4316
2018-05-21,16.0993,10.7200,5.3793
2018-05-18,14.7880,9.3752,5.4128
2018-05-17,14.9397,8.0220,6.9176
2018-05-16,14.1869,6.2926,7.8943
2018-05-15,12.7825,4.3191,8.4634
2018-05-14,11.9251,2.2032,9.7219
2018-05-11,8.7553,-0.2272,8.9825
2018-05-10,4.8275,-2.4729,7.3004
2018-05-09,0.2174,-4.2980,4.5154
2018-05-08,-3.0959,-5.4268,2.3310
2018-05-07,-4.6458,-6.0096,1.3638
2018-05-04,-6.6287,-6.3505,-0.2782
2018-05-03,-8.1255,-6.2810,-1.8445
2018-05-02,-6.4875,-5.8199,-0.6677
2018-05-01,-4.9073,-5.6529,0.7456
2018-04-30,-4.7668,-5.8393,1.0725
2018-04-27,-3.8309,-6.1075,2.2766
2018-04-26,-4.8063,-6.6766,1.8704
2018-04-25,-5.6789,-7.1442,1.4653
2018-04-24,-3.9060,-7.5106,3.6045
2018-04-23,-1.0936,-8.4117,7.3181
2018-04-20,-1.1260,-10.2412,9.1152
2018-04-19,-1.1357,-12.5200,11.3843
2018-04-18,-3.4723,-15.3661,11.8937
2018-04-17,-7.9834,-18.3395,10.3561
2018-04-16,-13.3960,-20.9285,7.5325
2018-04-13,-17.2027,-22.8116,5.6090
2018-04-12,-19.6180,-24.2139,4.5959
2018-04-11,-23.1984,-25.3629,2.1644
2018-04-10,-25.2113,-25.9040,0.6926
2018-04-09,-28.9085,-26.0771,-2.8313
2018-04-06,-28.7564,-25.3693,-3.3871
2018-04-05,-27.2592,-24.5225,-2.7367
2018-04-04,-30.8950,-23.8383,-7.0566
2018-04-03,-33.2381,-22.0742,-11.1639
2018-04-02,-32.6663,-19.2832,-13.3831
2018-03-29,-28.1451,-15.9374,-12.2077
2018-03-28,-27.9713,-12.8855,-15.0859
2018-03-27,-23.6904,-9.1140,-14.5764
2018-03-26,-18.6578,-5.4699,-13.1879
2018-03-23,-16.6393,-2.1729,-14.4664
2018-03-22,-6.6643,1.4437,-8.1079
2018-03-21,0.5207,3.4707,-2.9499
2018-03-20,2.7357,4.2081,-1.4724
2018-03-19,5.0130,4.5762,0.4367
2018-03-16,8.2560,4.4671,3.7889
2018-03-15,8.2950,3.5198,4.7752
2018-03-14,8.7007,2.3260,6.3747
2018-03-13,8.8731,0.7323,8.1408
2018-03-12,7.3523,-1.3029,8.6551
2018-03-09,3.5010,-3.4666,6.9676
2018-03-08,-1.8270,-5.2085,3.3815
2018-03-07,-3.7544,-6.0539,2.2996
2018-03-06,-4.9206,-6.6288,1.7082
2018-03-05,-6.4721,-7.0559,0.5838
2018-03-02,-7.6270,-7.2018,-0.4252
2018-03-01,-5.9673,-7.0955,1.1282
2018-02-28,-2.3793,-7.3776,4.9982
2018-02-27,-1.4470,-8.6271,7.1802
2018-02-26,-3.3363,-10.4222,7.0859
2018-02-23,-9.2953,-12.1937,2.8983
2018-02-22,-13.4774,-12.9182,-0.5591
2018-02-21,-14.2064,-12.7785,-1.4279
2018-02-20,-14.6624,-12.4215,-2.2409
2018-02-16,-16.5513,-11.8613,-4.6900
2018-02-15,-20.3465,-10.6888,-9.6577
2018-02-14,-24.7907,-8.2743,-16.5164
2018-02-13,-26.7864,-4.1452,-22.6411
2018-02-12,-25.3100,1.5150,-26.8251
2018-02-09,-22.3510,8.2213,-30.5723
2018-02-08,-14.5377,15.8644,-30.4021
2018-02-07,-0.4286,23.4649,-23.8935
2018-02-06,7.3369,29.4383,-22.1013
2018-02-05,15.7694,34.9636,-19.1942
2018-02-02,31.0068,39.7622,-8.7553
2018-02-01,38.4796,41.9510,-3.4714
2018-01-31,41.3640,42.8188,-1.4548
2018-01-30,44.2576,43.1825,1.0751
2018-01-29,47.4477,42.9138,4.5339
2018-01-26,47.6626,41.7803,5.8823
2018-01-25,45.2745,40.3097,4.9648
2018-01-24,44.9911,39.0685,5.9226
2018-01-23,44.1490,37.5879,6.5611
