0,1,2
2018-07-02,38.1937,29.4957
2018-06-29,27.9383,23.1558
2018-06-28,22.3551,24.1678
2018-06-27,19.1740,25.3265
2018-06-26,30.9744,30.7073
2018-06-25,25.8312,32.5348
2018-06-22,35.3163,39.6134
2018-06-21,36.4568,44.3840
2018-06-20,47.0670,51.8421
2018-06-19,49.6283,55.8740
2018-06-18,58.8309,62.5703
2018-06-15,59.1628,67.9787
2018-06-14,69.7173,78.6584
2018-06-13,75.0560,84.9839
2018-06-12,91.2018,91.3229
2018-06-11,88.6938,91.7041
2018-06-08,94.0731,94.2998
2018-06-07,92.3454,94.6817
2018-06-06,96.4809,91.0764
2018-06-05,95.2187,84.6120
2018-06-04,81.5295,70.1003
2018-06-01,77.0878,58.8652
2018-05-31,51.6835,46.3276
2018-05-30,47.8243,48.1452
2018-05-29,39.4751,51.9314
2018-05-25,57.1362,61.2741
2018-05-24,59.1831,59.6844
2018-05-23,67.5032,57.3208
2018-05-22,52.3669,48.5959
2018-05-21,52.0922,47.9587
2018-05-18,41.3286,51.9566
2018-05-17,50.4554,64.2367
2018-05-16,64.0857,78.1807
2018-05-15,78.1688,88.7493
2018-05-14,92.2875,93.9276
2018-05-11,95.7914,93.3621
2018-05-10,93.7037,89.5423
2018-05-09,90.5911,81.1591
2018-05-08,84.3321,66.0288
2018-05-07,68.5543,50.9909
2018-05-04,45.2002,42.3379
2018-05-03,39.2182,48.4584
2018-05-02,42.5952,57.3245
2018-05-01,63.5619,62.8124
2018-04-30,65.8163,54.2509
2018-04-27,59.0591,39.8152
2018-04-26,37.8774,26.1996
2018-04-25,22.5090,25.1070
2018-04-24,18.2124,36.5939
2018-04-23,34.5995,57.7202
2018-04-20,56.9697,75.2253
2018-04-19,81.5914,82.7990
2018-04-18,87.1148,81.8598
2018-04-17,79.6907,77.1044
2018-04-16,78.7739,76.9397
2018-04-13,72.8488,71.7801
2018-04-12,79.1966,66.1146
2018-04-11,63.2950,59.1815
2018-04-10,55.8523,62.6795
2018-04-09,58.3971,69.4687
2018-04-06,73.7889,67.7454
2018-04-05,76.2200,58.1707
2018-04-04,53.2274,44.1494
2018-04-03,45.0648,37.1514
2018-04-02,34.1561,31.2699
2018-03-29,32.2334,27.2601
2018-03-28,27.4204,22.1471
2018-03-27,22.1264,16.1854
2018-03-26,16.8944,14.8284
2018-03-23,9.5354,16.9193
2018-03-22,18.0554,20.5861
2018-03-21,23.1671,19.4810
2018-03-20,20.5357,18.5357
2018-03-19,14.7401,23.5817
2018-03-16,20.3314,38.9645
2018-03-15,35.6736,59.8331
2018-03-14,60.8886,79.4700
2018-03-13,82.9370,91.6384
2018-03-12,94.5844,93.2077
2018-03-09,97.3938,85.7274
2018-03-08,87.6449,70.3333
2018-03-07,72.1436,51.8734
2018-03-06,51.2113,34.7660
2018-03-05,32.2653,26.8497
2018-03-02,20.8213,34.6743
2018-03-01,27.4625,54.0755
2018-02-28,55.7392,68.0397
2018-02-27,79.0248,67.1291
2018-02-26,69.3552,56.2396
2018-02-23,53.0073,55.3833
2018-02-22,46.3564,65.5477
2018-02-21,66.7863,81.3149
2018-02-20,83.5004,88.4525
2018-02-16,93.6579,85.9519
2018-02-15,88.1991,73.3653
2018-02-14,75.9986,55.1974
2018-02-13,55.8983,38.1219
2018-02-12,33.6953,28.1698
2018-02-09,24.7722,26.1923
2018-02-08,26.0419,23.3536
2018-02-07,27.7630,17.1986
2018-02-06,16.2559,11.8749
2018-02-05,7.5769,11.0166
2018-02-02,11.7920,17.9775
2018-02-01,13.6810,32.6443
2018-01-31,28.4595,54.1688
2018-01-30,55.7925,72.4003
2018-01-29,78.2544,80.9798
2018-01-26,83.1542,84.8388
2018-01-25,81.5308,89.8946
2018-01-24,89.8315,94.1030
2018-01-23,98.3215,94.7808
2018-01-22,94.1560,87.7991
2018-01-19,91.8648,83.7901
2018-01-18,77.3765,81.3190
2018-01-17,82.1291,85.4895
2018-01-16,84.4514,87.0000
2018-01-12,89.8879,87.6020
2018-01-11,86.6606,89.3693
2018-01-10,86.2574,92.5760
2018-01-09,95.1900,95.6944
2018-01-08,96.2807,95.8432
2018-01-05,95.6125,85.5749
2018-01-04,95.6363,72.0264
2018-01-03,65.4759,51.7747
2018-01-02,54.9671,44.2375
2017-12-29,34.8811,37.2116
2017-12-28,42.8642,40.3911
2017-12-27,33.8894,45.2939
2017-12-26,44.4197,56.5482
2017-12-22,57.5725,66.2735
2017-12-21,67.6525,74.1731
2017-12-20,73.5955,74.2570
