timestamp,open,high,low,close,volume,ATR Date,ATR,Boll Date,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI Date,CCI ,EMA 20 Date,EMA20,MA5 Date,MA5,MA10 Date,MA10,MACD Date,MACD Value,MACD Signal,MACD Hist
7/2/18,2704.95,2717.0901,2698.95,2710.5601,528210684,7/2/18,25.395,7/2/18,2753.488,2809.4013,2697.5748,7/2/18,-96.8639,7/2/18,2736.2234,7/2/18,2713.456,7/2/18,2731.905,7/2/18,-3.8931,5.0293,-8.9224
6/29/18,2727.1299,2743.26,2718.03,2718.3701,3565620000,6/29/18,25.8547,6/29/18,2755.3395,2807.6875,2702.9916,6/29/18,-46.9669,6/29/18,2739.0048,6/29/18,2714.888,6/29/18,2738.274,6/29/18,-2.0345,7.2599,-9.2944
6/28/18,2698.6899,2724.3401,2691.99,2716.3101,3428140000,6/28/18,25.7704,6/28/18,2756.152,2806.6513,2705.6527,6/28/18,-89.1709,6/28/18,2741.1769,6/28/18,2722.19,6/28/18,2744.403,6/28/18,-0.4615,9.5835,-10.045
6/27/18,2728.45,2746.0901,2699.3799,2699.6299,3776090000,6/27/18,25.2643,6/27/18,2755.6,2808.0336,2703.1664,6/27/18,-79.758,6/27/18,2743.7944,6/27/18,2728.88,6/27/18,2751.021,6/27/18,1.7627,12.0948,-10.3321
6/26/18,2722.1201,2732.9099,2715.6001,2723.0601,3555090000,6/26/18,23.6146,6/26/18,2756.819,2804.9479,2708.6901,6/26/18,-54.4506,6/26/18,2748.4433,6/26/18,2742.418,6/26/18,2758.621,6/26/18,6.2742,14.6778,-8.4035
6/25/18,2742.9399,2742.9399,2698.6699,2717.0701,3655080000,6/25/18,24.0996,6/25/18,2755.159,2809.6947,2700.6234,6/25/18,-67.9646,6/25/18,2751.1152,6/25/18,2750.324,6/25/18,2765,6/25/18,9.5557,16.7787,-7.2229
6/22/18,2760.79,2764.1699,2752.6799,2754.8799,5450550000,6/22/18,21.6295,6/22/18,2755.372,2809.3413,2701.4028,6/22/18,37.3331,6/22/18,2754.6989,6/22/18,2761.66,6/22/18,2771.493,6/22/18,14.215,18.5844,-4.3693
6/21/18,2769.28,2769.28,2744.3899,2749.76,3300060000,6/21/18,22.1849,6/21/18,2754.016,2809.3131,2698.719,6/21/18,32.7422,6/21/18,2754.6799,6/21/18,2766.616,6/21/18,2773.908,6/21/18,16.1055,19.6767,-3.5712
6/20/18,2769.73,2774.8601,2763.9099,2767.3201,3327600000,6/20/18,21.9768,6/20/18,2753.1925,2809.2045,2697.1806,6/20/18,74.9677,6/20/18,2755.1978,6/20/18,2773.162,6/20/18,2775.969,6/20/18,18.8055,20.5695,-1.7641
6/19/18,2752.01,2765.05,2743.1899,2762.5901,3661470000,6/19/18,22.7235,6/19/18,2751.0485,2808.008,2694.0891,6/19/18,50.9034,6/19/18,2753.9217,6/19/18,2774.824,6/19/18,2776.472,6/19/18,20.1901,21.0105,-0.8204
