timestamp,close,open,high,low,volume,ATR,Boll Mid Band,Boll Upper Band,Boll Lower Band,CCI ,EMA20,MA5,MA10,MACD Value,MACD Signal,MACD Hist,MOM 6,MOM12,ROC,SlowK,SlowD,WVAD,TNX close
6/29/18,2718.3701,2727.1299,2743.26,2718.03,3565620000,25.8547,2755.3395,2807.6875,2702.9916,-46.9669,2739.0048,2714.888,2738.274,-2.0345,7.2599,-9.2944,35.75,298.6702,1.3327,27.9383,23.1558,-73.482,2.849
6/28/18,2716.3101,2698.6899,2724.3401,2691.99,3428140000,25.7704,2756.152,2806.6513,2705.6527,-89.1709,2741.1769,2722.19,2744.403,-0.4615,9.5835,-10.045,35.8101,275.6201,1.3359,22.3551,24.1678,-75.5528,2.847
6/27/18,2699.6299,2728.45,2746.0901,2699.3799,3776090000,25.2643,2755.6,2808.0336,2703.1664,-79.758,2743.7944,2728.88,2751.021,1.7627,12.0948,-10.3321,16.2898,280.25,0.6071,19.174,25.3265,-98.9656,2.827
6/26/18,2723.0601,2722.1201,2732.9099,2715.6001,3555090000,23.6146,2756.819,2804.9479,2708.6901,-54.4506,2748.4433,2742.418,2758.621,6.2742,14.6778,-8.4035,38.49,283.99,1.4337,30.9744,30.7073,-73.7175,2.88
6/25/18,2717.0701,2742.9399,2742.9399,2698.6699,3655080000,24.0996,2755.159,2809.6947,2700.6234,-67.9646,2751.1152,2750.324,2765,9.5557,16.7787,-7.2229,37.8201,278.77,1.4116,25.8312,32.5348,-80.1723,2.875
6/22/18,2754.8799,2760.79,2764.1699,2752.6799,5450550000,21.6295,2755.372,2809.3413,2701.4028,37.3331,2754.6989,2761.66,2771.493,14.215,18.5844,-4.3693,73.4099,320.3799,2.7377,35.3163,39.6134,-70.4198,2.9
6/21/18,2749.76,2769.28,2769.28,2744.3899,3300060000,22.1849,2754.016,2809.3131,2698.719,32.7422,2754.6799,2766.616,2773.908,16.1055,19.6767,-3.5712,59.6001,314.1499,2.2155,36.4568,44.384,-80.2733,2.897
6/20/18,2767.3201,2769.73,2774.8601,2763.9099,3327600000,21.9768,2753.1925,2809.2045,2697.1806,74.9677,2755.1978,2773.162,2775.969,18.8055,20.5695,-1.7641,91.51,330.29,3.4199,47.067,51.8421,-33.1866,2.928
6/19/18,2762.5901,2752.01,2765.05,2743.1899,3661470000,22.7235,2751.0485,2808.008,2694.0891,50.9034,2753.9217,2774.824,2776.472,20.1901,21.0105,-0.8204,110.5801,309.1301,4.1697,49.6283,55.874,-31.8095,2.893
6/18/18,2773.75,2765.79,2774.99,2757.1201,3287150000,22.1207,2749.5695,2806.789,2692.3501,85.8538,2753.0093,2779.676,2775.093,22.1454,21.2157,0.9297,110.8999,340.6001,4.1647,58.8309,62.5703,-19.5175,2.926
6/15/18,2779.6599,2777.78,2782.8101,2761.73,5428790000,22.0884,2746.5305,2804.7378,2688.3233,108.5517,2750.826,2781.326,2772.405,23.1826,20.9832,2.1994,115.5498,347.2,4.3373,59.1628,67.9787,-10.3001,2.924
6/14/18,2782.49,2783.21,2789.0601,2776.52,3526890000,22.166,2743.554,2800.7601,2686.3479,133.5415,2747.7909,2781.2,2767.901,23.5675,20.4334,3.1342,122.5,344.5701,4.6053,69.7173,78.6584,-7.8318,2.946
