0,1,2
1/13/00,68.4162,75.2348
1/14/00,73.0943,72.3153
1/18/00,75.0695,72.1933
1/19/00,80.9529,76.3722
1/20/00,62.9396,72.9873
1/21/00,47.3223,63.7382
1/24/00,21.5052,43.9223
1/25/00,22.0529,30.2934
1/26/00,23.9365,22.4982
1/27/00,28.9982,24.9959
1/28/00,17.8698,23.6015
1/31/00,31.3561,26.0747
2/1/00,49.5964,32.9408
2/2/00,76.3587,52.4371
2/3/00,88.3716,71.4422
2/4/00,89.0792,84.6032
2/7/00,84.6343,87.3617
2/8/00,83.0603,85.5913
2/9/00,64.2959,77.3302
2/10/00,47.0819,64.8127
2/11/00,18.9246,43.4341
2/14/00,17.0604,27.689
2/15/00,27.2393,21.0747
2/16/00,32.3055,25.535
2/17/00,28.7088,29.4179
2/18/00,15.7908,25.6017
2/22/00,13.6081,19.3693
2/23/00,23.3515,17.5835
2/24/00,23.1385,20.0327
2/25/00,18.2569,21.5823
2/28/00,28.5179,23.3044
2/29/00,58.3696,35.0481
3/1/00,87.3665,58.0846
3/2/00,93.7063,79.8141
3/3/00,91.7264,90.9331
3/6/00,83.7169,89.7165
3/7/00,62.848,79.4304
3/8/00,40.9038,62.4896
3/9/00,47.6931,50.4816
3/10/00,62.683,50.4266
3/13/00,70.533,60.303
3/14/00,49.0285,60.7482
3/15/00,46.4459,55.3358
3/16/00,61.2451,52.2398
3/17/00,84.0784,63.9231
3/20/00,90.5685,78.6307
3/21/00,90.6926,88.4465
3/22/00,91.0612,90.7741
3/23/00,93.1025,91.6188
3/24/00,87.9909,90.7182
3/27/00,79.2025,86.7653
3/28/00,60.0983,75.7639
3/29/00,43.6729,60.9912
3/30/00,27.6746,43.8153
3/31/00,32.7407,34.6961
4/3/00,45.7812,35.3988
4/4/00,64.821,47.781
4/5/00,70.9323,60.5115
4/6/00,73.5754,69.7762
4/7/00,77.3439,73.9505
4/10/00,81.8461,77.5885
4/11/00,72.64,77.2767
4/12/00,44.3922,66.2928
4/13/00,19.1785,45.4036
4/14/00,6.5241,23.365
4/17/00,19.2582,14.987
4/18/00,38.2909,21.3578
4/19/00,55.9319,37.827
4/20/00,72.1684,55.4638
4/24/00,75.6122,67.9042
4/25/00,87.0549,78.2785
4/26/00,81.664,81.4437
4/27/00,79.7345,82.8178
4/28/00,64.9616,75.4534
5/1/00,64.3334,69.6765
5/2/00,48.6329,59.3093
5/3/00,33.783,48.9164
5/4/00,18.0123,33.476
5/5/00,25.8532,25.8828
5/8/00,34.2703,26.0453
5/9/00,38.5894,32.9043
5/10/00,26.2266,33.0288
5/11/00,32.9321,32.5827
5/12/00,50.3415,36.5001
5/15/00,80.2833,54.519
5/16/00,91.3354,73.9868
5/17/00,85.2209,85.6132
5/18/00,62.8518,79.8027
5/19/00,36.2432,61.4386
5/22/00,22.3731,40.4894
5/23/00,16.3798,24.9987
5/24/00,25.8421,21.5317
5/25/00,22.9693,21.7304
5/26/00,28.8017,25.871
5/30/00,47.1308,32.9673
5/31/00,68.5353,48.1559
6/1/00,91.943,69.203
6/2/00,90.667,83.7151
6/5/00,89.1268,90.5789
6/6/00,77.1406,85.6448
6/7/00,71.8783,79.3819
6/8/00,55.8205,68.2798
6/9/00,47.4366,58.3785
6/12/00,22.9069,42.0547
6/13/00,41.77,37.3712
6/14/00,54.5653,39.7474
6/15/00,82.261,59.5321
6/16/00,68.3813,68.4025
6/19/00,71.4123,74.0182
6/20/00,64.6693,68.1543
6/21/00,69.5462,68.5426
6/22/00,46.283,60.1662
6/23/00,28.4862,48.1051
6/26/00,23.8971,32.8888
6/27/00,28.2449,26.8761
6/28/00,39.8432,30.6617
6/29/00,30.5713,32.8865
6/30/00,38.178,36.1975
7/3/00,55.4288,41.3927
7/5/00,58.4011,50.6693
7/6/00,60.4249,58.0849
7/7/00,57.0674,58.6311
7/10/00,73.4161,63.6361
7/11/00,81.1766,70.5534
7/12/00,80.2188,78.2705
7/13/00,82.976,81.4571
7/14/00,89.558,84.2509
7/17/00,88.406,86.98
7/18/00,70.7714,82.9118
7/19/00,40.2276,66.4683
7/20/00,34.8897,48.6296
7/21/00,23.9893,33.0355
7/24/00,23.5072,27.4621
7/25/00,8.4612,18.6526
7/26/00,10.0288,13.999
7/27/00,12.2482,10.246
7/28/00,8.7184,10.3318
7/31/00,14.9699,11.9788
8/1/00,24.3861,16.0248
8/2/00,41.8434,27.0665
8/3/00,64.9851,43.7382
8/4/00,81.915,62.9145
8/7/00,93.3749,80.0917
8/8/00,95.0739,90.1213
8/9/00,88.5299,92.3262
8/10/00,68.4641,84.0227
8/11/00,52.6131,69.869
8/14/00,59.2735,60.1169
8/15/00,75.984,62.6235
8/16/00,82.5084,72.5887
8/17/00,83.1432,80.5452
8/18/00,80.8832,82.1783
8/21/00,88.3475,84.1246
8/22/00,79.8468,83.0258
8/23/00,81.9906,83.395
8/24/00,81.7867,81.208
8/25/00,86.6635,83.4803
8/28/00,81.4387,83.2963
8/29/00,73.977,80.6931
8/30/00,45.9769,67.1309
8/31/00,47.3743,55.7761
9/1/00,46.3583,46.5698
9/5/00,55.9737,49.9021
9/6/00,31.988,44.7733
9/7/00,20.6414,36.201
9/8/00,14.8114,22.4803
9/11/00,23.1468,19.5332
9/12/00,12.9702,16.9761
9/13/00,20.8367,18.9846
9/14/00,30.976,21.5943
9/15/00,30.3834,27.3987
9/18/00,21.2292,27.5295
9/19/00,12.761,21.4579
9/20/00,21.2864,18.4255
9/21/00,19.159,17.7355
9/22/00,29.858,23.4345
9/25/00,36.9956,28.6709
9/26/00,36.6253,34.493
9/27/00,24.3928,32.6712
9/28/00,31.5304,30.8495
9/29/00,43.4264,33.1165
10/2/00,48.3271,41.0947
10/3/00,28.5005,40.0847
10/4/00,30.7115,35.8464
10/5/00,36.3405,31.8508
10/6/00,40.6582,35.9034
10/9/00,29.8191,35.6059
10/10/00,10.5596,27.0123
10/11/00,8.091,16.1566
10/12/00,5.7893,8.1467
10/13/00,24.4707,12.7837
10/16/00,40.927,23.729
10/17/00,51.1908,38.8628
10/18/00,48.7425,46.9534
10/19/00,60.2924,53.4086
10/20/00,78.5239,62.5196
10/23/00,93.6411,77.4858
10/24/00,87.5138,86.5596
10/25/00,59.1274,80.0941
10/26/00,38.9763,61.8725
10/27/00,34.4086,44.1708
10/30/00,60.7377,44.7075
10/31/00,80.3368,58.4943
11/1/00,87.3286,76.1343
11/2/00,87.7498,85.1384
