0,1,2
4/25/03,38.2008,69.0083
4/28/03,20.3437,42.9344
4/29/03,49.7378,36.0941
4/30/03,79.3651,49.8155
5/1/03,91.9444,73.6824
5/2/03,92.2917,87.8671
5/5/03,94.5267,92.9209
5/6/03,98.5593,95.1259
5/7/03,95.3984,96.1615
5/8/03,81.8304,91.9294
5/9/03,81.2859,86.1716
5/12/03,84.4468,82.5211
5/13/03,91.0094,85.5807
5/14/03,79.2102,84.8888
5/15/03,67.1237,79.1144
5/16/03,53.3101,66.548
5/19/03,37.3971,52.6103
5/20/03,25.2679,38.6584
5/21/03,22.9491,28.538
5/22/03,38.6275,28.9481
5/23/03,60.2638,40.6134
5/27/03,83.2589,60.7167
5/28/03,96.3695,79.9641
5/29/03,97.8263,92.4849
5/30/03,98.1645,97.4534
6/2/03,93.2789,96.4232
6/3/03,76.6345,89.3593
6/4/03,70.6516,80.1883
6/5/03,70.6136,72.6332
6/6/03,80.168,73.8111
6/9/03,70.968,73.9166
6/10/03,68.0575,73.0645
6/11/03,66.4017,68.4757
6/12/03,81.4549,71.9714
6/13/03,88.7296,78.8621
6/16/03,98.5,89.5615
6/17/03,98.0449,95.0915
6/18/03,94.4546,96.9998
6/19/03,86.2711,92.9235
6/20/03,77.5535,86.0931
6/23/03,49.3192,71.0479
6/24/03,28.1515,51.6747
6/25/03,13.6857,30.3854
6/26/03,32.665,24.834
6/27/03,47.8974,31.416
6/30/03,62.6708,47.7444
7/1/03,75.5674,62.0452
7/2/03,89.122,75.7867
7/3/03,97.6983,87.4626
7/7/03,98.9193,95.2466
7/8/03,98.6316,98.4164
7/9/03,95.8495,97.8001
7/10/03,72.2951,88.9254
7/11/03,55.1589,74.4345
7/14/03,54.153,60.5356
7/15/03,60.2656,56.5258
7/16/03,61.6851,58.7012
7/17/03,32.5581,51.5029
7/18/03,26.7215,40.3216
7/21/03,11.0005,23.4267
7/22/03,25.2366,20.9862
7/23/03,25.5907,20.6092
7/24/03,43.6174,31.4815
7/25/03,62.7146,43.9742
7/28/03,82.6694,63.0005
7/29/03,88.7157,78.0332
7/30/03,67.0225,79.4692
7/31/03,49.8532,68.5305
8/1/03,41.2115,52.6957
8/4/03,38.3676,43.1441
8/5/03,25.1731,34.9174
8/6/03,12.3051,25.2819
8/7/03,16.9956,18.1579
8/8/03,39.693,22.9979
8/11/03,64.6316,40.44
8/12/03,83.3429,62.5558
8/13/03,90.9485,79.641
8/14/03,95.2284,89.8399
8/15/03,85.8093,90.6621
8/18/03,88.7169,89.9182
8/19/03,88.6873,87.7379
8/20/03,98.6308,92.0117
8/21/03,98.4721,95.2634
8/22/03,94.2347,97.1125
8/25/03,81.24,91.3156
8/26/03,56.5899,77.3549
8/27/03,45.7325,61.1875
8/28/03,50.6488,50.9904
