timestamp,open,high,low,close,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
1/10/06,120.55,120.85,120.5,120.79,85000,63.4926,80.8703,119.715,121.156,120.005,-24.9317,56.0602,0.38,110.3124,10.86
1/11/06,121.13,121.54,121.08,121.37,184900,54.7102,67.7973,119.8726,121.16,120.293,-9.5467,60.0123,0.38,110.0376,10.94
1/12/06,120.38,120.51,120.2,120.45,225000,36.8858,51.6962,119.9276,121.032,120.489,-33.9505,52.0197,0.37,110.2115,11.2
1/13/06,120.62,121.56,120.62,121.45,66700,59.6634,50.4198,120.0726,120.998,120.774,-7.4246,58.491,0.36,110.1404,11.23
1/17/06,120.8,121.18,120.67,121.16,76700,59.6136,52.0543,120.1762,121.044,121.039,-15.1171,56.1268,0.35,110.4437,11.91
1/18/06,121.59,121.74,120.851,121.67,470900,85.9848,68.4206,120.3184,121.22,121.188,-1.8519,59.2465,0.36,110.5998,12.25
1/19/06,120.8,121.3,120.8,121.06,43200,73.9623,73.1869,120.3891,121.158,121.159,-17.9894,54.2753,0.37,110.3693,11.98
1/20/06,121.16,121.509,120.86,121.48,52500,76.0281,78.6584,120.493,121.364,121.198,-6.8783,56.9535,0.34,110.0909,14.56
1/23/06,122.9,123.19,122.79,123.1799,161100,77.4097,75.8,120.7489,121.71,121.354,-0.2457,65.7081,0.33,109.5556,13.93
1/24/06,122.86,123.09,122.8002,122.92,153600,88.3626,80.6001,120.9556,122.062,121.553,-9.0301,63.5791,0.32,109.5063,13.31
1/25/06,122.94,122.94,122.5,122.57,162100,87.4536,84.4086,121.1094,122.242,121.731,-20.7358,60.7256,0.32,109.5185,12.87
1/26/06,122.61,122.71,122.18,122.27,44600,74.4255,83.4139,121.2199,122.484,121.821,-30.7692,58.3098,0.33,109.6482,12.42
1/27/06,122.34,122.42,121.05,121.17,272400,46.727,69.5354,121.2152,122.422,121.893,-67.5585,50.3938,0.3,109.8192,11.97
1/30/06,121.09,121.15,120.87,121.06,216000,24.8937,48.6821,121.2004,121.998,121.854,-71.2375,49.6677,0.31,109.9004,12.39
1/31/06,121.35,122.06,121.35,121.75,467300,18.8927,30.1711,121.2527,121.764,121.913,-48.1605,54.1324,0.32,109.6027,12.95
2/1/06,121,121.19,120.61,120.6801,133100,18.1362,20.6409,121.1982,121.386,121.814,-83.9431,47.1486,0.34,109.8086,12.36
2/2/06,120.66,121.1,120.5601,121.0001,54100,23.1691,20.066,121.1793,121.132,121.808,-83.2693,49.2572,0.34,110.0036,13.23
2/3/06,119.89,120.3,119.88,120.27,243700,14.9617,18.7557,121.0927,120.952,121.687,-88.2175,44.8596,0.34,110.3188,12.96
2/6/06,119.79,119.91,119.52,119.65,151500,15.5551,17.8953,120.9553,120.67,121.334,-96.4578,41.4734,0.33,110.3068,13.04
2/7/06,119.91,119.94,119.5,119.74,190500,12.4031,14.3066,120.8396,120.268,121.016,-93.4959,42.156,0.32,110.3424,13.59
2/8/06,119.66,119.72,119.36,119.64,196800,11.8037,13.254,120.7253,120.06,120.723,-92.6893,41.5757,0.33,110.663,12.83
2/9/06,119.91,119.96,119.56,119.94,26300,30.6651,18.2906,120.6505,119.848,120.49,-84.8564,44.063,0.32,110.3916,13.12
2/10/06,120.29,120.3199,119.03,119.1,259000,27.7403,23.403,120.5029,119.614,120.283,-98.2759,39.05,0.3,110.4647,12.87
2/13/06,119.07,119.23,119,119.1601,49000,26.4195,28.275,120.375,119.516,120.093,-95.9365,39.5797,0.3,110.5447,13.35
2/14/06,118.83,119.3,118.81,119.27,69300,16.0074,23.3891,120.2697,119.422,119.845,-88.2051,40.5963,0.31,110.5312,12.25
2/15/06,119.45,119.61,118.89,118.962,22800,17.5541,19.9937,120.1452,119.2864,119.6732,-95.7895,38.6344,0.33,110.5935,12.31
2/16/06,118.87,119.06,118.83,119.06,145800,19.03,17.5305,120.0418,119.1104,119.4792,-92.3077,39.634,0.34,110.6554,11.48
2/17/06,118.91,119.55,118.91,119.47,184400,36.3748,24.3196,119.9874,119.1844,119.3992,-79.6923,43.7615,0.33,110.4882,12.01
2/21/06,119.2,119.42,119.05,119.31,56400,53.8525,36.4191,119.9229,119.2144,119.3652,-78.9916,42.5391,0.32,110.3947,12.41
2/22/06,119.04,119.31,118.95,119.2,23300,64.1453,51.4575,119.854,119.2004,119.3112,-82.9694,41.6772,0.32,110.5586,11.88
2/23/06,119.62,119.62,119.27,119.3,26100,56.4765,58.1581,119.8013,119.268,119.2772,-67.5475,42.8116,0.32,110.3327,11.87
2/24/06,119.14,119.17,118.82,118.82,116300,35.6432,52.0883,119.7078,119.22,119.1652,-99.3377,38.9004,0.31,110.3865,11.46
2/27/06,118.69,118.82,118.58,118.65,45400,22.0748,38.0648,119.6071,119.056,119.1202,-95.9768,37.5905,0.31,110.2003,11.59
2/28/06,118.98,119.54,118.95,119.24,150800,23.3974,27.0385,119.5721,119.042,119.1282,-62.0668,44.5668,0.34,109.8992,12.34
3/1/06,119.64,119.6403,119,119.2,73300,42.8888,29.4537,119.5367,119.042,119.1212,-64.3658,44.2061,0.34,109.9592,11.54
3/2/06,119.46,120.49,119.43,120.47,327700,73.6295,46.6386,119.6256,119.276,119.272,-1.0471,56.3018,0.35,109.7136,11.72
3/3/06,120.55,120.55,120.08,120.43,156200,83.7785,66.7656,119.7022,119.598,119.409,-6.0914,55.8908,0.37,109.8276,11.96
3/6/06,120.29,120.38,120,120.26,73200,91.5788,82.9956,119.7553,119.92,119.488,-14.7208,54.0838,0.38,110.1177,12.74
3/7/06,119.13,119.18,118.8,118.94,1895300,61.2612,78.8729,119.6777,119.86,119.451,-81.7259,42.5742,0.41,110.7122,12.66
3/8/06,119.25,119.47,119.13,119.37,913800,40.8155,64.5518,119.6484,119.894,119.468,-59.8985,46.5636,0.41,111.0089,12.32
3/9/06,119.41,119.41,119.18,119.27,748300,22.4762,41.5176,119.6123,119.654,119.465,-64.9746,45.7673,0.4,110.9143,12.68
3/10/06,118.87,119.32,118.79,119.32,25400,30.9206,31.4041,119.5845,119.432,119.515,-62.4365,46.2622,0.41,111.0924,11.85
3/13/06,119.55,119.81,119.4,119.74,25400,51.1092,34.8354,119.5993,119.328,119.624,-41.1168,50.3595,0.44,110.9901,11.37
3/14/06,119.82,120.45,119.82,120.3,189700,72.4781,51.5027,119.666,119.6,119.73,-12.6904,55.258,0.41,110.4318,10.74
3/15/06,120.71,120.91,120.53,120.86,59800,93.9142,72.5005,119.7797,119.898,119.896,-2.1459,59.556,0.43,110.3115,11.35
3/16/06,121.39,122.05,121.39,121.93,50000,94.9748,87.1224,119.9845,120.43,120.042,-3.4582,66.2309,0.41,110.0049,11.98
3/17/06,121.97,122.25,121.62,122.14,102400,96.7003,95.1964,120.1898,120.994,120.213,-3.1792,67.3692,0.39,109.9267,12.12
3/20/06,121.89,121.98,121.69,121.87,67900,92.2738,94.6496,120.3498,121.42,120.374,-10.9827,64.3651,0.37,110.1048,11.79
3/21/06,121.46,121.46,120.97,121.07,191000,70.6326,86.5356,120.4184,121.574,120.587,-34.104,56.3478,0.38,110.5411,11.62
3/22/06,121.17,121.29,120.96,120.99,59900,39.361,67.4225,120.4728,121.6,120.749,-36.4162,55.602,0.41,110.5634,11.21
3/23/06,120.87,120.87,119.83,119.98,129800,13.3064,41.1,120.4259,121.21,120.82,-65.6069,47.1217,0.42,110.8981,11.17
3/24/06,120.04,120.71,119.96,120.59,114400,14.6243,22.4306,120.4415,120.9,120.947,-47.9769,51.8938,0.45,110.8608,11.19
3/27/06,120.54,120.6,120.31,120.328,49700,24.0331,17.3213,120.4307,120.5916,121.0058,-55.5491,49.8144,0.43,110.902,11.46
3/28/06,121.14,121.16,120.23,120.33,181400,33.3825,24.0133,120.4211,120.4436,121.0088,-55.4913,49.8309,0.47,110.8737,11.58
3/29/06,120.22,120.73,120.22,120.61,51700,41.1484,32.8547,120.4391,120.3676,120.9838,-47.3988,52.204,0.49,111.123,10.95
3/30/06,121.54,121.92,121.4,121.88,66200,63.6175,46.0495,120.5763,120.7476,120.9788,-12.9825,61.1745,0.48,110.6437,11.57
3/31/06,121.35,121.69,121.25,121.26,30900,72.5941,59.12,120.6415,120.8816,120.8908,-40.7407,55.6803,0.45,110.6055,11.39
