0,1,2
12/22/05,20.4419,32.8053
12/23/05,28.7417,26.3644
12/27/05,33.7463,27.6433
12/28/05,30.8892,31.1257
12/29/05,26.5753,30.4036
12/30/05,28.5526,28.6724
1/3/06,51.4234,35.5171
1/4/06,75.8324,51.9361
1/5/06,93.3272,73.5277
1/6/06,93.9291,87.6962
1/9/06,85.1891,90.8151
1/10/06,63.4926,80.8703
1/11/06,54.7102,67.7973
1/12/06,36.8858,51.6962
1/13/06,59.6634,50.4198
1/17/06,59.6136,52.0543
1/18/06,85.9848,68.4206
1/19/06,73.9623,73.1869
1/20/06,76.0281,78.6584
1/23/06,77.4097,75.8
1/24/06,88.3626,80.6001
1/25/06,87.4536,84.4086
1/26/06,74.4255,83.4139
1/27/06,46.727,69.5354
1/30/06,24.8937,48.6821
1/31/06,18.8927,30.1711
2/1/06,18.1362,20.6409
2/2/06,23.1691,20.066
2/3/06,14.9617,18.7557
2/6/06,15.5551,17.8953
2/7/06,12.4031,14.3066
2/8/06,11.8037,13.254
2/9/06,30.6651,18.2906
2/10/06,27.7403,23.403
2/13/06,26.4195,28.275
2/14/06,16.0074,23.3891
2/15/06,17.5541,19.9937
2/16/06,19.03,17.5305
2/17/06,36.3748,24.3196
2/21/06,53.8525,36.4191
2/22/06,64.1453,51.4575
2/23/06,56.4765,58.1581
2/24/06,35.6432,52.0883
2/27/06,22.0748,38.0648
2/28/06,23.3974,27.0385
3/1/06,42.8888,29.4537
3/2/06,73.6295,46.6386
3/3/06,83.7785,66.7656
3/6/06,91.5788,82.9956
3/7/06,61.2612,78.8729
3/8/06,40.8155,64.5518
3/9/06,22.4762,41.5176
3/10/06,30.9206,31.4041
3/13/06,51.1092,34.8354
3/14/06,72.4781,51.5027
3/15/06,93.9142,72.5005
3/16/06,94.9748,87.1224
3/17/06,96.7003,95.1964
3/20/06,92.2738,94.6496
3/21/06,70.6326,86.5356
3/22/06,39.361,67.4225
3/23/06,13.3064,41.1
3/24/06,14.6243,22.4306
3/27/06,24.0331,17.3213
3/28/06,33.3825,24.0133
3/29/06,41.1484,32.8547
3/30/06,63.6175,46.0495
3/31/06,72.5941,59.12
4/3/06,77.9472,71.3862
4/4/06,77.0949,75.8787
4/5/06,87.5682,80.8701
4/6/06,86.123,83.5953
4/7/06,62.1,78.597
4/10/06,34.728,60.9837
4/11/06,22.3338,39.7206
4/12/06,20.282,25.7813
4/13/06,31.3479,24.6546
4/17/06,48.4544,33.3614
4/18/06,75.9228,51.9084
4/19/06,93.9676,72.7816
4/20/06,91.7361,87.2089
4/21/06,82.7132,89.4723
4/24/06,82.1437,85.531
4/25/06,87.5787,84.1452
4/26/06,93.6775,87.7999
4/27/06,93.3095,91.5219
4/28/06,95.2703,94.0857
5/1/06,87.4062,91.9953
5/2/06,81.0456,87.9074
5/3/06,73.4958,80.6492
5/4/06,81.9325,78.8246
5/5/06,85.3784,80.2689
5/8/06,82.7486,83.3532
5/9/06,79.2425,82.4565
5/10/06,76.7282,79.5731
5/11/06,81.765,79.2452
5/12/06,87.4848,81.9926
5/15/06,71.4059,80.2186
5/16/06,63.5663,74.1523
5/17/06,37.3855,57.4526
5/18/06,44.8651,48.6056
5/19/06,40.0278,40.7595
5/22/06,64.3113,49.7347
5/23/06,75.1151,59.8181
5/24/06,74.4565,71.2943
5/25/06,59.7826,69.7847
5/26/06,35.3406,56.5266
5/30/06,47.0865,47.4032
5/31/06,49.6486,44.0252
6/1/06,57.4713,51.4021
6/2/06,61.2715,56.1305
6/5/06,68.3842,62.3757
6/6/06,71.6122,67.0893
6/7/06,50.6343,63.5436
6/8/06,27.9828,50.0764
6/9/06,15.1963,31.2711
6/12/06,7.4081,16.8624
6/13/06,5.6295,9.4113
6/14/06,18.0839,10.3738
6/15/06,36.1457,19.953
6/16/06,61.5661,38.5986
6/19/06,58.6755,52.1291
6/20/06,49.8696,56.7037
6/21/06,52.8425,53.7959
6/22/06,50.1503,50.9541
6/23/06,41.7214,48.2381
6/26/06,26.3707,39.4141
6/27/06,31.6288,33.2403
6/28/06,45.872,34.6238
6/29/06,62.1338,46.5448
6/30/06,80.7108,62.9055
7/3/06,83.156,75.3335
7/5/06,66.5923,76.8197
7/6/06,50.8019,66.8501
7/7/06,43.5059,53.6334
