0,1,2
2018-07-13 10:28:19,10.9055,23.9302
2018-07-12,21.9531,41.5723
2018-07-11,38.9320,60.5043
2018-07-10,63.8319,73.6986
2018-07-09,78.7491,70.4921
2018-07-06,78.5149,56.0172
2018-07-05,54.2122,34.3295
2018-07-03,35.3244,21.0169
2018-07-02,13.4517,11.8953
2018-06-29,14.2746,9.7224
2018-06-28,7.9596,10.2584
2018-06-27,6.9331,12.8708
2018-06-26,15.8826,15.4915
2018-06-25,15.7966,12.3092
2018-06-22,14.7951,9.1128
2018-06-21,6.3358,7.8202
2018-06-20,6.2075,15.8794
2018-06-19,10.9172,31.3756
2018-06-18,30.5134,46.1041
2018-06-15,52.6963,56.2839
2018-06-14,55.1026,58.2256
2018-06-13,61.0529,62.7110
2018-06-12,58.5213,60.6917
2018-06-11,68.5587,56.1568
2018-06-08,54.9953,42.2581
2018-06-07,44.9166,28.5585
2018-06-06,26.8624,18.2155
2018-06-05,13.8967,22.0777
2018-06-04,13.8875,36.8647
2018-06-01,38.4489,54.8877
2018-05-31,58.2577,66.2661
2018-05-30,67.9564,72.2491
2018-05-29,72.5842,73.9011
2018-05-25,76.2069,70.9473
2018-05-24,72.9121,59.9498
2018-05-23,63.7229,44.7313
2018-05-22,43.2143,26.7206
2018-05-21,27.2566,15.2813
2018-05-18,9.6910,12.4522
2018-05-17,8.8962,22.1359
2018-05-16,18.7693,40.7208
2018-05-15,38.7422,56.8660
2018-05-14,64.6508,67.0759
2018-05-11,67.2051,68.4596
2018-05-10,69.3719,70.8790
2018-05-09,68.8019,68.8193
2018-05-08,74.4633,58.6748
2018-05-07,63.1925,41.1780
2018-05-04,38.3685,25.0705
2018-05-03,21.9731,21.3967
2018-05-02,14.8699,22.9582
2018-05-01,27.3472,26.1978
2018-04-30,26.6575,22.9110
2018-04-27,24.5886,19.4579
2018-04-26,17.4868,15.7641
2018-04-25,16.2985,15.6749
2018-04-24,13.5071,22.4207
2018-04-23,17.2191,34.3911
2018-04-20,36.5360,45.0959
2018-04-19,49.4182,46.1380
2018-04-18,49.3333,39.7896
2018-04-17,39.6626,36.5486
2018-04-16,30.3731,41.2943
2018-04-13,39.6103,54.8557
2018-04-12,53.8997,63.0323
2018-04-11,71.0572,59.9402
2018-04-10,64.1399,49.4456
2018-04-09,44.6235,40.9491
2018-04-06,39.5735,43.1426
2018-04-05,38.6504,42.9702
2018-04-04,51.2037,39.1398
2018-04-03,39.0564,32.1987
2018-04-02,27.1594,38.0652
2018-03-29,30.3803,56.9929
2018-03-28,56.6561,75.1632
2018-03-27,83.9422,84.1853
2018-03-26,84.8912,76.3809
2018-03-23,83.7224,64.3642
2018-03-22,60.5291,45.1715
2018-03-21,48.8410,33.1243
2018-03-20,26.1444,29.3013
2018-03-19,24.3873,37.9678
2018-03-16,37.3721,49.5253
2018-03-15,52.1438,52.1866
2018-03-14,59.0600,45.1260
2018-03-13,45.3562,38.9284
2018-03-12,30.9620,43.1288
2018-03-09,40.4671,56.4926
2018-03-08,57.9574,66.2623
2018-03-07,71.0532,64.6696
2018-03-06,69.7761,54.0303
2018-03-05,53.1795,39.9587
2018-03-02,39.1352,32.9669
2018-03-01,27.5615,30.7983
2018-02-28,32.2041,32.6537
2018-02-27,32.6293,27.9858
2018-02-26,33.1278,23.3061
2018-02-23,18.2004,24.3499
2018-02-22,18.5901,40.1751
2018-02-21,36.2591,63.5135
2018-02-20,65.6762,82.6318
2018-02-16,88.6053,86.4300
2018-02-15,93.6140,73.8724
2018-02-14,77.0708,51.3388
2018-02-13,50.9325,30.4073
2018-02-12,26.0131,17.3494
2018-02-09,14.2764,14.2359
2018-02-08,11.7588,16.1076
2018-02-07,16.6725,26.9645
2018-02-06,19.8916,36.8203
2018-02-05,44.3292,43.6413
2018-02-02,46.2399,37.0984
2018-02-01,40.3547,31.6079
2018-01-31,24.7005,33.6435
2018-01-30,29.7685,47.0788
2018-01-29,46.4615,63.2861
2018-01-26,65.0064,74.7755
2018-01-25,78.3903,75.2183
2018-01-24,80.9296,64.0311
2018-01-23,66.3350,51.6574
2018-01-22,44.8285,50.3708
2018-01-19,43.8088,63.2723
2018-01-18,62.4752,79.6043
2018-01-17,83.5330,84.1277
2018-01-16,92.8048,75.1680
2018-01-12,76.0453,61.3965
