0,1,2
6/8/00,67.7989,80.3117
6/9/00,73.0233,74.5686
6/12/00,48.9107,63.2443
6/13/00,52.3207,58.0849
6/14/00,34.4605,45.2307
6/15/00,47.8261,44.8691
6/16/00,40.5797,40.9554
6/19/00,59.4203,49.2754
6/20/00,76.7955,58.9318
6/21/00,97.9521,78.056
6/22/00,69.4968,81.4148
6/23/00,42.2375,69.8955
6/26/00,24.2114,45.3152
6/27/00,22,29.483
6/28/00,36.6667,27.626
6/29/00,36.3922,31.6863
6/30/00,55.9477,43.0022
7/3/00,69.281,53.8736
7/5/00,76.3889,67.2059
7/6/00,87.5,77.7233
7/7/00,84.3992,82.7627
7/10/00,93.4804,88.4599
7/11/00,89.2069,89.0289
7/12/00,92.3077,91.665
7/13/00,95.7265,92.4137
7/14/00,95.4955,94.5099
7/17/00,93.5907,94.9376
7/18/00,67.6648,85.5837
7/19/00,38.836,66.6972
7/20/00,21.9373,42.8127
7/21/00,14.5299,25.1011
7/24/00,15.641,17.3694
7/25/00,5.873,12.0147
7/26/00,15.1626,12.2256
7/27/00,14.0515,11.6957
7/28/00,10.5062,13.2401
7/31/00,18.4923,14.35
8/1/00,34.2011,21.0665
8/2/00,50.3816,34.3583
8/3/00,59.6069,48.0632
8/4/00,70.2506,60.0797
8/7/00,86.1869,72.0148
8/8/00,89.0884,81.842
8/9/00,85.056,86.7771
8/10/00,59.6936,77.946
8/11/00,60.3987,68.3828
8/14/00,71.4119,63.8347
8/15/00,83.6163,71.8089
8/16/00,78.9474,77.9918
8/17/00,75.7728,79.4455
8/18/00,76.2322,76.9841
8/21/00,77.7778,76.5943
8/22/00,65.1629,73.0576
8/23/00,59.3428,67.4278
8/24/00,57.692,60.7326
8/25/00,69.6353,62.2234
8/28/00,78.63,68.6525
8/29/00,86.63,78.2985
8/30/00,86.1751,83.8117
8/31/00,88.8613,87.2222
9/1/00,86.9566,87.331
9/5/00,81.1566,85.6582
9/6/00,71.3276,79.8136
9/7/00,73.2323,75.2388
9/8/00,50,64.8533
9/11/00,39.3939,54.2088
9/12/00,8.9592,32.7844
9/13/00,21.7797,23.3776
9/14/00,39.9615,23.5668
9/15/00,39.627,33.7894
9/18/00,28.7296,36.106
9/19/00,17.3077,28.5548
9/20/00,19.8718,21.9697
9/21/00,17.9487,18.3761
9/22/00,22.0594,19.96
9/25/00,37.3016,25.7699
9/26/00,50.3451,36.5687
9/27/00,44.0199,43.8889
9/28/00,54.7101,49.6917
9/29/00,67.1569,55.2956
10/2/00,65.3743,62.4138
10/3/00,34.3137,55.615
10/4/00,19.7949,39.8276
10/5/00,14.2558,22.7881
10/6/00,14.8893,16.3133
10/9/00,8.1797,12.4416
10/10/00,4.8953,9.3215
10/11/00,7.8144,6.9632
10/12/00,3.5526,5.4208
10/13/00,22.7855,11.3842
10/16/00,42.5176,22.9519
10/17/00,54.8222,40.0418
10/18/00,45.9738,47.7712
10/19/00,49.5967,50.1309
10/20/00,66.2201,53.9302
10/23/00,88.5976,68.1381
10/24/00,84.908,79.9086
10/25/00,55.98,76.4952
10/26/00,37.557,59.4817
10/27/00,29.0503,40.8624
10/30/00,46.4929,37.7001
10/31/00,63.3709,46.3047
11/1/00,79.7899,63.2179
11/2/00,94.6613,79.2741
11/3/00,95.2487,89.9
11/6/00,86.8,92.2367
11/7/00,80.4933,87.514
11/8/00,48.689,71.9941
11/9/00,35.3458,54.8427
11/10/00,9.3385,31.1245
11/13/00,18.3577,21.014
11/14/00,26.6065,18.1009
11/15/00,55.8905,33.6182
11/16/00,63.2447,48.5806
11/17/00,65.284,61.473
11/20/00,36.3899,54.9728
11/21/00,22.1832,41.2857
11/22/00,4.1923,20.9218
11/24/00,18.0881,14.8212
11/27/00,36.5533,19.6112
11/28/00,37.3031,30.6482
11/29/00,28.2014,34.0193
11/30/00,12.4247,25.9764
12/1/00,23.0542,21.2267
12/4/00,29.101,21.5266
12/5/00,57.5792,36.5781
12/6/00,65.0229,50.5677
12/7/00,67.3626,63.3216
12/8/00,53.2177,61.8677
12/11/00,66.0922,62.2242
12/12/00,74.3082,64.5394
12/13/00,64.8693,68.4232
12/14/00,31.5359,56.9045
12/15/00,15.2609,37.222
12/18/00,17.1076,21.3015
12/19/00,22.8746,18.4144
12/20/00,19.1772,19.7198
12/21/00,14.8588,18.9702
12/22/00,36.8696,23.6352
12/26/00,65.7778,39.1687
12/27/00,91.8333,64.8269
12/28/00,96.8259,84.8123
12/29/00,86.7124,91.7906
1/2/01,56.5663,80.0349
1/3/01,44.3187,62.5325
1/4/01,38.9627,46.6159
