timestamp,open,high,low,close,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
7/17/00,72.22,72.22,72.22,72.22,600,17.5141,25.7203,71.309,72.158,72.085,-27.1845,69.1142,0.76,119.2043,19.45
7/18/00,72.44,72.44,72.44,72.44,200,47.4576,27.126,71.4167,72.152,72.213,-16.7488,70.8726,0.76,119.1688,19.75
7/19/00,71.47,71.75,71.25,71.56,49200,56.1411,40.371,71.4304,72.038,72.188,-60.0985,56.9146,0.74,119.4364,19.65
7/20/00,71.81,71.81,71.66,71.66,1100,50.1116,51.2368,71.4522,71.958,72.151,-55.1724,57.9286,0.74,119.0882,18.94
7/21/00,72.66,72.75,72.63,72.69,1500,52.1681,52.8069,71.5701,72.114,72.164,-4.6392,66.6378,0.77,119.0063,18.94
7/24/00,73,73.28,72.88,73.28,2600,76.8179,59.6992,71.733,72.326,72.242,0,70.4157,0.73,118.9655,19.92
7/25/00,73.31,73.31,73.25,73.25,2800,97.6958,75.5606,71.8774,72.488,72.32,-2.9126,69.9818,0.7,118.9186,19.39
7/26/00,73.5,74.3,73.5,74.3,5600,99.0291,91.1809,72.1082,73.036,72.537,0,75.6402,0.71,118.9093,19.67
7/27/00,74.41,75.19,74.41,75.13,60600,98.2479,98.3243,72.396,73.73,72.844,-1.5228,79.0086,0.67,119.142,19.6
7/28/00,75.11,75.19,75.11,75.11,1600,98.0643,98.4471,72.6544,74.214,73.164,-2.0305,78.7261,0.69,119.5835,20.84
7/31/00,75.25,75.25,74.44,74.59,39400,87.0643,94.4589,72.8388,74.476,73.401,-16.5,71.5619,0.69,119.7053,20.74
8/1/00,75.38,76.17,75.31,76.17,210200,87.8456,90.9914,73.156,75.06,73.774,0,78.087,0.65,119.755,20.55
8/2/00,76.34,76.34,76.22,76.31,6900,88.4819,87.7973,73.4564,75.462,74.249,-0.5894,78.5565,0.65,119.7568,20
8/3/00,76.13,76.13,75.33,75.75,20900,89.131,88.4862,73.6748,75.586,74.658,-11.5914,71.9187,0.66,120.0103,19.99
