0,1,2
2018-07-13 10:25:29,43.5070,54.9891
2018-07-12,57.1085,67.5143
2018-07-11,64.3518,78.4132
2018-07-10,81.0825,86.8794
2018-07-09,89.8053,84.6540
2018-07-06,89.7503,76.7042
2018-07-05,74.4065,67.5020
2018-07-03,65.9558,57.8015
2018-07-02,62.1436,48.1957
2018-06-29,45.3052,41.5921
2018-06-28,37.1384,51.4376
2018-06-27,42.3328,69.2288
2018-06-26,74.8415,87.2296
2018-06-25,90.5120,88.7192
2018-06-22,96.3354,79.4046
2018-06-21,79.3102,63.3767
2018-06-20,62.5683,52.9399
2018-06-19,48.2515,43.4023
2018-06-18,48.0000,42.7729
2018-06-15,33.9556,47.0373
2018-06-14,46.3631,66.0513
2018-06-13,60.7933,80.4919
2018-06-12,90.9976,89.1547
2018-06-11,89.6847,86.3350
2018-06-08,86.7817,85.7363
2018-06-07,82.5387,87.3020
2018-06-06,87.8885,90.0144
2018-06-05,91.4789,89.5365
2018-06-04,90.6759,86.7579
2018-06-01,86.4547,85.1238
2018-05-31,83.1432,84.0458
2018-05-30,85.7736,85.1371
2018-05-29,83.2205,86.3258
2018-05-25,86.4171,87.7314
2018-05-24,89.3399,79.4408
2018-05-23,87.4371,59.9451
2018-05-22,61.5454,33.4237
2018-05-21,30.8529,15.0123
2018-05-18,7.8728,9.8476
2018-05-17,6.3112,18.9589
2018-05-16,15.3588,38.1226
2018-05-15,35.2066,61.5630
2018-05-14,63.8024,79.3416
2018-05-11,85.6801,87.4018
2018-05-10,88.5422,86.9367
2018-05-09,87.9830,86.1388
2018-05-08,84.2848,84.3666
2018-05-07,86.1488,84.9521
2018-05-04,82.6662,84.9415
2018-05-03,86.0411,87.0549
2018-05-02,86.1170,86.2877
2018-05-01,89.0065,80.5531
2018-04-30,83.7397,66.1235
2018-04-27,68.9131,46.0025
2018-04-26,45.7177,27.3244
2018-04-25,23.3767,16.9962
2018-04-24,12.8789,20.9976
2018-04-23,14.7329,37.2328
2018-04-20,35.3811,55.9038
2018-04-19,61.5845,62.5123
2018-04-18,70.7459,52.3933
2018-04-17,55.2066,35.7175
2018-04-16,31.2274,23.5167
2018-04-13,20.7184,23.0826
2018-04-12,18.6044,29.5281
2018-04-11,29.9250,44.4677
2018-04-10,40.0549,61.0280
2018-04-09,63.4231,75.5260
2018-04-06,79.6060,77.4248
2018-04-05,83.5490,73.4986
2018-04-04,69.1194,71.2509
2018-04-03,67.8274,72.7350
2018-04-02,76.8059,68.2148
2018-03-29,73.5715,50.8782
2018-03-28,54.2669,30.2702
2018-03-27,24.7963,15.1090
2018-03-26,11.7474,12.6719
2018-03-23,8.7833,18.3766
2018-03-22,17.4849,32.8132
2018-03-21,28.8616,49.7104
2018-03-20,52.0931,67.9522
2018-03-19,68.1766,77.6860
2018-03-16,83.5870,83.7712
2018-03-15,81.2945,86.8139
2018-03-14,86.4322,92.0497
2018-03-13,92.7150,95.8112
2018-03-12,97.0018,96.5146
2018-03-09,97.7169,90.7341
2018-03-08,94.8250,76.6906
2018-03-07,79.6604,55.0195
2018-03-06,55.5864,34.0741
2018-03-05,29.8117,21.4686
2018-03-02,16.8244,25.7608
2018-03-01,17.7699,41.6694
2018-02-28,42.6882,57.4329
2018-02-27,64.5502,56.1599
2018-02-26,65.0602,44.9991
2018-02-23,38.8692,40.8270
2018-02-22,31.0678,54.7672
