0,1,2
8/7/02,56.1508,71.5867
8/8/02,42.748,56.7557
8/9/02,45.625,48.1746
8/12/02,56.7361,48.3697
8/13/02,79.8611,60.7407
8/14/02,84.5992,73.7321
8/15/02,74.2817,79.5807
8/16/02,44.8699,67.9169
8/19/02,34.7152,51.2889
8/20/02,48.7364,42.7738
8/21/02,76.4815,53.311
8/22/02,90.1323,71.7834
8/23/02,90.0233,85.5457
8/26/02,88.3567,89.5041
8/27/02,80.4202,86.2667
8/28/02,67.5661,78.781
8/29/02,61.8086,69.9316
8/30/02,67.7609,65.7119
9/3/02,72.3193,67.2963
9/4/02,74.7436,71.608
9/5/02,73.5531,73.5387
9/6/02,59.3651,69.2206
9/9/02,43.5873,58.8352
9/10/02,39.7778,47.5767
9/11/02,48.6667,44.0106
9/12/02,68.8889,52.4444
9/13/02,78.3007,65.2854
9/16/02,88.3007,78.4967
9/17/02,79.4118,82.0044
9/18/02,67.3913,78.3679
9/19/02,53.6486,66.8172
9/20/02,42.5375,54.5258
9/23/02,27.8129,41.333
9/24/02,24.0342,31.4615
9/25/02,23.3397,25.0623
9/26/02,36.4626,27.9455
9/27/02,57.7851,39.1958
9/30/02,72.7652,55.671
10/1/02,72.8488,67.7997
10/2/02,57.1429,67.5856
10/3/02,38.8889,56.2935
10/4/02,35.1371,43.7229
10/7/02,26.4069,33.4776
10/8/02,19.2641,26.936
10/9/02,11.7406,19.1372
10/10/02,14.5977,15.2008
10/11/02,29.4125,18.5836
10/14/02,47.037,30.3491
10/15/02,40.3704,38.94
10/16/02,28.8889,38.7654
10/17/02,11.1111,26.7901
10/18/02,19.5425,19.8475
10/21/02,23.352,18.0019
10/22/02,30.8123,24.5689
10/23/02,44.0476,32.7373
10/24/02,70.2381,48.366
10/25/02,91.6667,68.6508
10/28/02,100,87.3016
10/29/02,95.4023,95.6897
10/30/02,90.6404,95.3476
10/31/02,90.6404,92.2277
11/1/02,74.9129,85.3979
11/4/02,60.7559,75.4364
11/5/02,40.0352,58.568
11/6/02,44.5709,48.454
11/7/02,63.4898,49.3653
11/8/02,82.7613,63.6073
11/11/02,97.1902,81.1471
11/12/02,89.7072,89.8862
11/13/02,87.0748,91.3241
11/14/02,78.9116,85.2312
11/15/02,70.839,78.9418
11/18/02,72.8373,74.196
11/19/02,76.1111,73.2625
11/20/02,74.1228,74.3571
11/21/02,56.5983,68.9441
11/22/02,33.6816,54.8009
11/25/02,21.8505,37.3768
11/26/02,24.7917,26.7746
11/27/02,31.7361,26.1261
11/29/02,42.9293,33.1524
12/2/02,42.9293,39.1982
12/3/02,52.1886,46.0157
12/4/02,58.6057,51.2412
12/5/02,70.8279,60.5407
12/6/02,73.7908,67.7415
12/9/02,68.8889,71.1692
12/10/02,62.2222,68.3007
12/11/02,69.8413,66.9841
12/12/02,82.0635,71.3757
12/13/02,68.9322,73.6123
12/16/02,46.8483,65.948
12/17/02,34.6261,50.1355
12/18/02,58.8685,46.781
12/19/02,83.3333,58.9426
12/20/02,98.0392,80.0804
12/23/02,96.0784,92.4837
12/24/02,89.4118,94.5098
12/26/02,91.3725,92.2876
12/27/02,93.3333,91.3725
12/30/02,98.4127,94.3729
12/31/02,91.0053,94.2504
1/2/03,60.8978,83.4386
1/3/03,38.8292,63.5774
