0,1,2
3/8/01,95.9524,95.8832
3/9/01,85.0056,92.1915
3/12/01,58.8927,79.9503
3/13/01,32.1636,58.6873
3/14/01,13.8919,34.9828
3/15/01,7.5509,17.8688
3/16/01,3.8983,8.447
3/19/01,12.3023,7.9172
3/20/01,28.3084,14.8363
3/21/01,37.0642,25.8916
3/22/01,35.7448,33.7058
3/23/01,34.6817,35.8302
3/26/01,47.865,39.4305
3/27/01,58.4097,46.9855
3/28/01,50.1713,52.1486
3/29/01,29.8872,46.156
3/30/01,15.2037,31.754
4/2/01,9.7461,18.279
4/3/01,8.6255,11.1917
4/4/01,14.9255,11.099
4/5/01,38.8983,20.8164
4/6/01,66.8984,40.2407
4/9/01,84.394,63.3969
4/10/01,90.4204,80.5709
4/11/01,85.4895,86.768
4/12/01,82.7794,86.2298
4/16/01,80.5754,82.9481
4/17/01,89.5669,84.3072
4/18/01,71.8639,80.6687
4/19/01,43.7261,68.3856
4/20/01,23.7224,46.4375
4/23/01,41.8818,36.4434
4/24/01,65.2022,43.6021
4/25/01,85.9136,64.3325
4/26/01,89.262,80.1259
4/27/01,91.6258,88.9338
4/30/01,87.9733,89.6203
5/1/01,80.0888,86.5626
5/2/01,54.4678,74.1766
5/3/01,29.5817,54.7127
5/4/01,17.0148,33.6881
5/7/01,22.7277,23.1081
5/8/01,29.2044,22.9823
5/9/01,42.9031,31.6117
5/10/01,55.1693,42.4256
5/11/01,55.0325,51.035
5/14/01,62.3183,57.5067
5/15/01,75.5221,64.291
5/16/01,95.2379,77.6928
5/17/01,96.4881,89.0827
5/18/01,92.6934,94.8065
5/21/01,93.01,94.0638
5/22/01,82.9904,89.5646
5/23/01,56.0618,77.3541
5/24/01,26.8055,55.2859
5/25/01,11.9173,31.5949
5/29/01,14.7059,17.8096
5/30/01,18.7951,15.1394
5/31/01,27.2976,20.2662
6/1/01,35.3409,27.1445
6/4/01,54.3724,39.0036
6/5/01,63.1774,50.9636
6/6/01,50.7905,56.1134
6/7/01,26.6286,46.8655
6/8/01,6.7251,28.0481
6/11/01,9.4717,14.2752
6/12/01,22.3763,12.8577
6/13/01,29.0784,20.3088
6/14/01,27.0943,26.183
6/15/01,15.2887,23.8205
6/18/01,4.1456,15.5095
6/19/01,6.8138,8.7494
6/20/01,4.8453,5.2682
6/21/01,8.495,6.718
6/22/01,11.701,8.3471
6/25/01,19.3466,13.1809
6/26/01,30.5083,20.5186
