timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
1/10/06,94.57,94.78,95,93.78,2130900,86.9565,94.2017,90.3887,94.062,91.475,-15.4736,73.2933,0.38,110.3124,10.86
1/11/06,95.68,94.8,95.69,94,2395400,85.8122,90.3066,90.8927,94.722,92.238,-2.6559,75.722,0.38,110.0376,10.94
1/12/06,94.35,95.9,95.9,94.21,2686500,66.5714,79.78,91.2219,95.022,92.844,-18.0141,67.7695,0.37,110.2115,11.2
1/13/06,94.45,94.6,94.95,94.15,1834100,54.9178,69.1005,91.5294,94.954,93.459,-16.8593,68.0413,0.36,110.1404,11.23
1/17/06,92.8,93.48,94,92.51,5401900,26.3575,49.2822,91.6504,94.37,93.914,-35.9127,59.1751,0.35,110.4437,11.91
1/18/06,92.16,91.25,93.69,91.24,5386400,19.9175,33.7309,91.6989,93.888,93.975,-43.303,56.1204,0.36,110.5998,12.25
1/19/06,95.75,94,95.88,94,4576900,41.6927,29.3226,92.0847,93.902,94.312,-1.8476,66.551,0.37,110.3693,11.98
1/20/06,92.9,95.88,96.35,92.9,5780800,49.6696,37.0933,92.1624,93.612,94.317,-37.9125,55.3104,0.34,110.0909,14.56
1/23/06,95.6,94.02,95.6,93.8,4563300,71.5298,54.2974,92.4898,93.842,94.398,-11.811,61.8794,0.33,109.5556,13.93
1/24/06,97.1,95.41,97.11,95.41,3625500,72.546,64.5818,92.9288,94.702,94.536,-0.1704,64.9609,0.32,109.5063,13.31
1/25/06,97.15,98.04,99.68,96.75,2498100,82.6123,75.5627,93.3309,95.7,94.794,-29.9763,65.0622,0.32,109.5185,12.87
1/26/06,99.45,97.72,99.45,97.69,2624900,86.3739,80.5107,93.9136,96.44,95.171,-2.7251,69.4422,0.33,109.6482,12.42
1/27/06,100.59,99.9,101.39,99.62,3841200,82.9173,83.9678,94.5495,97.978,95.795,-7.8818,71.3588,0.3,109.8192,11.97
1/30/06,100.12,100,100.45,99.7,2899800,88.2767,85.856,95.08,98.882,96.362,-12.5123,69.4255,0.31,109.9004,12.39
1/31/06,100.78,100.3,100.89,99.51,3522300,85.0253,85.4064,95.6229,99.618,97.16,-6.0099,70.6288,0.32,109.6027,12.95
2/1/06,100.73,100.9,101,100.16,3317200,82.5927,85.2982,96.1093,100.334,98.017,-6.5025,70.4028,0.34,109.8086,12.36
2/2/06,98.14,100.05,100.17,97.54,4734300,61.5333,76.3838,96.3027,100.072,98.256,-32.0197,59.7364,0.34,110.0036,13.23
2/3/06,96.8,96.5,98.14,95.7,4414800,39.5004,61.2088,96.35,99.314,98.646,-45.2217,55.0863,0.34,110.3188,12.96
2/6/06,99.1,98.38,99.1,97.77,2371500,33.4967,44.8435,96.6119,99.11,98.996,-22.5616,60.736,0.33,110.3068,13.04
2/7/06,96.5,98,98.4,96.16,4271900,33.3333,35.4435,96.6013,98.254,98.936,-57.5972,52.6703,0.32,110.3424,13.59
