timestamp,close,open,high,low,EMA20,MA5,MA10
1/10/06,94.57,94.78,95,93.78,90.3887,94.062,91.475
1/11/06,95.68,94.8,95.69,94,90.8927,94.722,92.238
1/12/06,94.35,95.9,95.9,94.21,91.2219,95.022,92.844
1/13/06,94.45,94.6,94.95,94.15,91.5294,94.954,93.459
1/17/06,92.8,93.48,94,92.51,91.6504,94.37,93.914
1/18/06,92.16,91.25,93.69,91.24,91.6989,93.888,93.975
1/19/06,95.75,94,95.88,94,92.0847,93.902,94.312
1/20/06,92.9,95.88,96.35,92.9,92.1624,93.612,94.317
1/23/06,95.6,94.02,95.6,93.8,92.4898,93.842,94.398
1/24/06,97.1,95.41,97.11,95.41,92.9288,94.702,94.536
1/25/06,97.15,98.04,99.68,96.75,93.3309,95.7,94.794
1/26/06,99.45,97.72,99.45,97.69,93.9136,96.44,95.171
1/27/06,100.59,99.9,101.39,99.62,94.5495,97.978,95.795
1/30/06,100.12,100,100.45,99.7,95.08,98.882,96.362
1/31/06,100.78,100.3,100.89,99.51,95.6229,99.618,97.16
2/1/06,100.73,100.9,101,100.16,96.1093,100.334,98.017
2/2/06,98.14,100.05,100.17,97.54,96.3027,100.072,98.256
2/3/06,96.8,96.5,98.14,95.7,96.35,99.314,98.646
2/6/06,99.1,98.38,99.1,97.77,96.6119,99.11,98.996
2/7/06,96.5,98,98.4,96.16,96.6013,98.254,98.936
2/8/06,96.8,95.6,97.39,95.52,96.6202,97.468,98.901
2/9/06,97.05,97.54,98.34,96.95,96.6611,97.25,98.661
2/10/06,96.9,97.94,98.1,95.89,96.6839,97.27,98.292
2/13/06,94.51,96,96.32,94.5,96.4768,96.352,97.731
2/14/06,96.9,94.2,97,94.2,96.5171,96.432,97.343
2/15/06,96.4,96.7,98,95.51,96.506,96.352,96.91
2/16/06,98.9,97.39,98.92,97,96.734,96.722,96.986
2/17/06,98.77,98.91,99.18,98.5,96.9279,97.096,97.183
2/21/06,97.9,99.75,99.75,97.9,97.0205,97.774,97.063
2/22/06,98.43,98.71,99.21,97.98,97.1547,98.08,97.256
2/23/06,98.4,98.8,99.2,98.16,97.2733,98.48,97.416
2/24/06,98.59,98.65,99.15,98.4,97.3987,98.418,97.57
2/27/06,99.49,98.72,99.82,98.72,97.5979,98.562,97.829
2/28/06,96.9,99.13,99.2,96.7,97.5314,98.362,98.068
3/1/06,99.58,97.75,100.82,97.29,97.7265,98.592,98.336
3/2/06,99.66,99.33,99.75,98.79,97.9107,98.844,98.662
3/3/06,98,99,99.2,97.91,97.9192,98.726,98.572
3/6/06,96.5,98.6,98.8,96.21,97.784,98.128,98.345
3/7/06,93.1,94.75,95.66,92.65,97.3379,97.368,97.865
3/8/06,93.65,93.1,93.81,91.5,96.9867,96.182,97.387
3/9/06,92.7,94.2,95.05,92.4,96.5784,94.79,96.817
3/10/06,94.65,93.95,94.99,92.99,96.3948,94.12,96.423
3/13/06,94.55,95.56,95.9,94.47,96.2191,93.73,95.929
3/14/06,97.5,94.32,97.5,94.32,96.3411,94.61,95.989
3/15/06,98.63,97.75,98.63,97.07,96.5591,95.606,95.894
3/16/06,97.75,98.5,98.68,97.7,96.6725,96.616,95.703
3/17/06,98.44,98.44,99.54,97.81,96.8408,97.374,95.747
3/20/06,99,98.87,99.43,98.44,97.0465,98.264,95.997
3/21/06,97,98.7,98.99,96.5,97.042,98.164,96.387
3/22/06,98.07,96.97,98.3,96.19,97.1399,98.052,96.829
3/23/06,97.16,98.1,98.63,97.09,97.1418,97.934,97.275
3/24/06,98,97.16,98.73,96.95,97.2236,97.846,97.61
3/27/06,98.6,98,98.74,97.7,97.3547,97.766,98.015
3/28/06,96.8,97.4,98.3,96.51,97.3018,97.726,97.945
3/29/06,98.65,97.43,98.77,96.9,97.4302,97.842,97.947
3/30/06,99.15,98.75,100.39,98.2,97.594,98.24,98.087
3/31/06,99,99,100.44,98.5,97.7279,98.44,98.143
4/3/06,101.8,100.33,102.2,100.25,98.1157,99.08,98.423
4/4/06,102.4,101.85,102.73,101.55,98.5238,100.2,98.963
4/5/06,103.45,102.4,103.45,102.4,98.9929,101.16,99.501
4/6/06,102.92,103.4,103.6,101.8,99.3669,101.914,100.077
4/7/06,101.35,103.5,103.5,101.1,99.5558,102.384,100.412
4/10/06,101,102.8,102.8,100.89,99.6933,102.224,100.652
4/11/06,100.14,101.15,102.24,100,99.7359,101.772,100.986
4/12/06,100.72,100.26,100.8,100.1,99.8296,101.226,101.193
4/13/06,101.2,100.51,101.55,100.15,99.9601,100.882,101.398
4/17/06,102.4,102,102.83,101.82,100.1925,101.092,101.738
4/18/06,105.8,104.48,105.88,103.46,100.7265,102.052,102.138
4/19/06,106.45,105.98,106.55,104.95,101.2716,103.314,102.543
4/20/06,106.07,106.6,107,105.08,101.7286,104.384,102.805
4/21/06,106.9,107.98,107.98,106.15,102.2211,105.524,103.203
4/24/06,105.5,106.47,106.47,104.75,102.5334,106.144,103.618
4/25/06,104.05,105.7,105.96,103.9,102.6778,105.794,103.923
4/26/06,106.1,105.84,106.25,104.85,103.0038,105.724,104.519
4/27/06,104.43,104.1,109.56,103.84,103.1396,105.396,104.89
4/28/06,105.45,104.2,105.61,104.2,103.3596,105.106,105.315
5/1/06,105.42,106,106.62,105.4,103.5559,105.09,105.617
5/2/06,107.28,106.5,107.48,106,103.9105,105.736,105.765
5/3/06,107.4,107.95,107.95,106.61,104.2429,105.996,105.86
5/4/06,108.45,107.75,108.99,107.6,104.6435,106.8,106.098
5/5/06,110.2,109.15,110.2,109.15,105.1727,107.75,106.428
5/8/06,111,110.22,111.25,110.2,105.7277,108.866,106.978
5/9/06,111.1,110.9,111.23,110.46,106.2394,109.63,107.683
5/10/06,109.9,110.95,111.16,109.52,106.588,110.13,108.063
5/11/06,107.1,110.03,110.2,107.07,106.6368,109.86,108.33
5/12/06,104.3,106.89,106.89,103.85,106.4142,108.68,108.215
5/15/06,101.8,103,103,96.86,105.9748,106.84,107.853
5/16/06,102.31,101.8,103.15,101.65,105.6257,105.082,107.356
5/17/06,98.8,101.4,102.5,98.4,104.9757,102.862,106.496
5/18/06,96.9,99.3,100.03,96.5,104.2066,100.822,105.341
5/19/06,98.99,97.65,98.99,95.7,103.7097,99.76,104.22
5/22/06,94.33,94.2,95.25,92.5,102.8164,98.266,102.553
5/23/06,93.3,96.2,97.8,93.1,101.9101,96.464,100.773
5/24/06,92.65,93.01,94.85,90.65,101.0282,95.234,99.048
5/25/06,96.59,94.01,98,93.82,100.6055,95.172,97.997
5/26/06,96.3,97.3,97.3,94.91,100.1955,94.634,97.197
5/30/06,92.15,95.83,95.9,91.91,99.4292,94.198,96.232
5/31/06,93.7,93,94.6,92.45,98.8836,94.278,95.371
6/1/06,95.62,93.93,95.8,93,98.5728,94.872,95.053
6/2/06,96.6,96.12,97.57,95.35,98.3849,94.874,95.023
6/5/06,92.5,95.63,96,92.49,97.8244,94.114,94.374
6/6/06,91.82,92.95,93.19,89.1,97.2526,94.048,94.123
6/7/06,89.8,90.85,92.9,89.7,96.5428,93.268,93.773
6/8/06,88.2,87.8,88.65,84.9,95.7482,91.784,93.328
6/9/06,87.04,88.6,89.59,86.9,94.9189,89.872,92.373
6/12/06,83.81,86.8,87.43,83.8,93.8609,88.134,91.124
6/13/06,81.95,82.37,83.66,79.9,92.7265,86.16,90.104
6/14/06,84.3,83.3,84.3,82.1,91.924,85.06,89.164
6/15/06,89.21,86.06,90.39,86,91.6655,85.262,88.523
6/16/06,88.7,88.5,89.4,87.3,91.3831,85.594,87.733
6/19/06,85.4,88.85,89,85.4,90.8133,85.912,87.023
6/20/06,86.45,86.22,87.35,85.8,90.3977,86.812,86.486
6/21/06,89.25,86.34,89.58,86.21,90.2884,87.802,86.431
6/22/06,87.65,88.49,88.75,87.01,90.0371,87.49,86.376
6/23/06,87.5,87.1,87.98,86,89.7955,87.25,86.422
6/26/06,87.5,87.31,87.89,86.77,89.5769,87.67,86.791
6/27/06,85.85,87.9,88.91,85.85,89.2219,87.55,87.181
6/28/06,88.54,87.74,88.57,87,89.157,87.408,87.605
6/29/06,93.8,89.54,93.8,89.42,89.5992,88.638,88.064
6/30/06,93.9,94.18,94.8,92.95,90.0088,89.918,88.584
