timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
1/10/06,70.7,69.73,70.7,69.68,27130700,97.2432,97.0558,68.3952,69.518,68.413,0,69.5527,0.38,110.3124,10.86
1/11/06,70.58,70.71,70.73,70.04,29592200,95.5974,96.6946,68.6033,69.95,68.76,-3.2051,68.3059,0.38,110.0376,10.94
1/12/06,70.33,70.45,70.74,70.05,24564000,91.3496,94.7301,68.7678,70.258,69.042,-8.742,65.6649,0.37,110.2115,11.2
1/13/06,70.36,70.27,70.47,70.02,20630300,80.5234,89.1568,68.9194,70.408,69.363,-8.1023,65.8356,0.36,110.1404,11.23
1/17/06,70.03,69.98,70.05,69.54,26981400,62.8173,78.2301,69.0252,70.4,69.694,-15.1386,62.1738,0.35,110.4437,11.91
1/18/06,69.57,69.39,70,69.3,31401600,42.3682,61.903,69.0771,70.174,69.846,-24.9467,57.3827,0.36,110.5998,12.25
1/19/06,71,70.05,71.17,69.94,26801900,50.1641,51.7832,69.2602,70.258,70.104,-3.3203,66.1226,0.37,110.3693,11.98
1/20/06,70.19,71.03,71.12,69.83,43539700,52.4176,48.3166,69.3488,70.23,70.244,-19.1406,58.7705,0.34,110.0909,14.56
1/23/06,70.41,70.25,70.56,69.99,30482900,65.9537,56.1785,69.4498,70.24,70.324,-14.8438,60.0691,0.33,109.5556,13.93
1/24/06,71.2,70.45,71.43,70.44,36770600,65.3846,61.2519,69.6165,70.474,70.437,-6.4789,64.4049,0.32,109.5063,13.31
1/25/06,71.38,71.39,71.6,70.77,32586600,78.7103,70.0162,69.7845,70.836,70.505,-6.5672,65.3286,0.32,109.5185,12.87
1/26/06,72.41,71.62,72.45,71.41,38990900,91.7486,78.6145,70.0345,71.118,70.688,-1.061,70.109,0.33,109.6482,12.42
1/27/06,72.77,72.53,73.24,72.26,29044200,90.5275,86.9954,70.295,71.634,70.932,-11.9289,71.5837,0.3,109.8192,11.97
1/30/06,72.56,72.69,72.98,72.47,28170300,86.5753,89.6171,70.5107,72.064,71.152,-17.2589,69.4318,0.31,109.9004,12.39
1/31/06,72.35,72.48,72.96,72.13,38124700,75.0735,84.0588,70.6859,72.294,71.384,-22.5888,67.2545,0.32,109.6027,12.95
2/1/06,73.1,72.59,73.21,72.47,35012400,77.3439,79.6642,70.9158,72.638,71.737,-3.5533,70.7788,0.34,109.8086,12.36
2/2/06,72,73,73.09,71.66,52251000,59.2788,70.5654,71.0191,72.556,71.837,-31.4721,60.4948,0.34,110.0036,13.23
2/3/06,71.78,71.81,72.49,71.51,37098500,43.2504,59.9577,71.0915,72.358,71.996,-37.0558,58.6591,0.34,110.3188,12.96
2/6/06,72.42,71.9,72.45,71.52,24718200,30.3103,44.2798,71.2181,72.33,72.197,-20.8122,62.2481,0.33,110.3068,13.04
2/7/06,71.25,72.27,72.59,71.15,41861400,24.7554,32.772,71.2211,72.11,72.202,-58.3578,53.1619,0.32,110.3424,13.59
2/8/06,71.7,71.42,71.84,70.88,35733500,31.8293,28.965,71.2667,71.83,72.234,-45.1613,55.8322,0.33,110.663,12.83
2/9/06,71.33,71.78,72.34,71.24,33152400,22.7581,26.4476,71.2727,71.696,72.126,-58.7692,53.1491,0.32,110.3916,13.12
2/10/06,71.18,71.18,71.43,70.37,31335700,33.3021,29.2965,71.2639,71.576,71.967,-71.777,52.0569,0.3,110.4647,12.87
2/13/06,70.71,71.04,71.15,70.35,29784500,26.2912,27.4505,71.2112,71.234,71.782,-87.5433,48.6811,0.3,110.5447,13.35
2/14/06,71.53,70.79,71.78,70.31,46109200,37.5521,32.3818,71.2415,71.29,71.7,-58.3618,54.2547,0.31,110.5312,12.25
2/15/06,72.16,71.51,72.16,71.18,40830100,55.7677,39.8703,71.329,71.382,71.606,-36.8601,58.0265,0.33,110.5935,12.31
2/16/06,72.8,72.38,72.83,72.12,30262200,83.347,58.8889,71.4691,71.676,71.686,-14.1379,61.4994,0.34,110.6554,11.48
2/17/06,72.65,72.82,72.9,72.3,17539600,93.43,77.5149,71.5816,71.97,71.773,-19.3103,60.2413,0.33,110.4882,12.01
2/21/06,72.33,72.8,72.93,71.85,20987600,88.7521,88.5097,71.6528,72.294,71.764,-30.3448,57.5372,0.32,110.3947,12.41
2/22/06,72.33,72.33,72.33,72.33,28699200,77.7203,86.6341,71.7173,72.454,71.872,-27.3381,57.5372,0.32,110.5586,11.88
2/23/06,72.77,72.75,73.27,72.38,38707900,69.2008,78.5577,71.8176,72.576,71.979,-16.8919,60.3737,0.32,110.3327,11.87
2/24/06,73.35,72.69,73.35,72.45,22995700,76.8343,74.5851,71.9635,72.686,72.181,0,63.806,0.31,110.3865,11.46
2/27/06,73.55,73.39,73.88,73.32,20570200,82.8442,76.2931,72.1146,72.866,72.418,-9.2437,64.9339,0.31,110.2003,11.59
2/28/06,72.58,73.38,73.47,72.44,35815600,66.6243,75.4343,72.1589,72.916,72.605,-36.4146,55.8444,0.34,109.8992,12.34
3/1/06,73.9,72.78,73.9,72.62,26244300,66.6243,72.0309,72.3248,73.23,72.842,0,63.3607,0.34,109.9592,11.54
3/2/06,73.59,73.64,73.89,73.09,36449400,64.9654,66.0713,72.4453,73.394,72.985,-8.6351,60.7455,0.35,109.7136,11.72
3/3/06,73.22,73.21,74.14,73.15,38377600,74.8832,68.8243,72.519,73.368,73.027,-24.0209,57.6851,0.37,109.8276,11.96
3/6/06,72.65,73.36,73.46,72.44,29237800,45.6675,61.8387,72.5315,73.188,73.027,-38.9034,53.2356,0.38,110.1177,12.74
3/7/06,71.6,72.4,72.4,71.44,38897300,21.3871,47.3126,72.4428,72.992,72.954,-85.8108,46.1705,0.41,110.7122,12.66
3/8/06,71.85,71.45,72,70.88,51387100,16.0112,27.6886,72.3863,72.582,72.906,-70.2454,47.942,0.41,111.0089,12.32
3/9/06,71.22,71.87,72.39,71.22,30358500,15.37,17.5894,72.2753,72.108,72.751,-89.5706,44.0113,0.4,110.9143,12.68
3/10/06,72.32,71.3,72.35,70.98,40266400,31.9993,21.1268,72.2795,71.928,72.648,-55.8282,51.4899,0.41,111.0924,11.85
