timestamp,close,open,high,low,EMA20,MA5,MA10
1/10/06,70.7,69.73,70.7,69.68,68.3952,69.518,68.413
1/11/06,70.58,70.71,70.73,70.04,68.6033,69.95,68.76
1/12/06,70.33,70.45,70.74,70.05,68.7678,70.258,69.042
1/13/06,70.36,70.27,70.47,70.02,68.9194,70.408,69.363
1/17/06,70.03,69.98,70.05,69.54,69.0252,70.4,69.694
1/18/06,69.57,69.39,70,69.3,69.0771,70.174,69.846
1/19/06,71,70.05,71.17,69.94,69.2602,70.258,70.104
1/20/06,70.19,71.03,71.12,69.83,69.3488,70.23,70.244
1/23/06,70.41,70.25,70.56,69.99,69.4498,70.24,70.324
1/24/06,71.2,70.45,71.43,70.44,69.6165,70.474,70.437
1/25/06,71.38,71.39,71.6,70.77,69.7845,70.836,70.505
1/26/06,72.41,71.62,72.45,71.41,70.0345,71.118,70.688
1/27/06,72.77,72.53,73.24,72.26,70.295,71.634,70.932
1/30/06,72.56,72.69,72.98,72.47,70.5107,72.064,71.152
1/31/06,72.35,72.48,72.96,72.13,70.6859,72.294,71.384
2/1/06,73.1,72.59,73.21,72.47,70.9158,72.638,71.737
2/2/06,72,73,73.09,71.66,71.0191,72.556,71.837
2/3/06,71.78,71.81,72.49,71.51,71.0915,72.358,71.996
2/6/06,72.42,71.9,72.45,71.52,71.2181,72.33,72.197
2/7/06,71.25,72.27,72.59,71.15,71.2211,72.11,72.202
2/8/06,71.7,71.42,71.84,70.88,71.2667,71.83,72.234
2/9/06,71.33,71.78,72.34,71.24,71.2727,71.696,72.126
2/10/06,71.18,71.18,71.43,70.37,71.2639,71.576,71.967
2/13/06,70.71,71.04,71.15,70.35,71.2112,71.234,71.782
2/14/06,71.53,70.79,71.78,70.31,71.2415,71.29,71.7
2/15/06,72.16,71.51,72.16,71.18,71.329,71.382,71.606
2/16/06,72.8,72.38,72.83,72.12,71.4691,71.676,71.686
2/17/06,72.65,72.82,72.9,72.3,71.5816,71.97,71.773
2/21/06,72.33,72.8,72.93,71.85,71.6528,72.294,71.764
2/22/06,72.33,72.33,72.33,72.33,71.7173,72.454,71.872
2/23/06,72.77,72.75,73.27,72.38,71.8176,72.576,71.979
2/24/06,73.35,72.69,73.35,72.45,71.9635,72.686,72.181
2/27/06,73.55,73.39,73.88,73.32,72.1146,72.866,72.418
2/28/06,72.58,73.38,73.47,72.44,72.1589,72.916,72.605
3/1/06,73.9,72.78,73.9,72.62,72.3248,73.23,72.842
3/2/06,73.59,73.64,73.89,73.09,72.4453,73.394,72.985
3/3/06,73.22,73.21,74.14,73.15,72.519,73.368,73.027
3/6/06,72.65,73.36,73.46,72.44,72.5315,73.188,73.027
3/7/06,71.6,72.4,72.4,71.44,72.4428,72.992,72.954
3/8/06,71.85,71.45,72,70.88,72.3863,72.582,72.906
3/9/06,71.22,71.87,72.39,71.22,72.2753,72.108,72.751
3/10/06,72.32,71.3,72.35,70.98,72.2795,71.928,72.648
3/13/06,72.47,72.62,73.08,72.2,72.2977,71.892,72.54
3/14/06,73.27,72.12,73.27,72.01,72.3903,72.226,72.609
3/15/06,73.94,73.3,74.34,73.04,72.5379,72.644,72.613
3/16/06,73.77,74.2,74.5,73.77,72.6552,73.154,72.631
3/17/06,74.07,74.13,74.3,73.7,72.7899,73.504,72.716
3/20/06,74.03,74.19,74.33,73.71,72.908,73.816,72.854
3/21/06,73,73.99,74.6,73,72.9168,73.762,72.994
3/22/06,74.13,72.99,74.22,72.89,73.0323,73.8,73.222
3/23/06,74.28,74.04,74.45,73.75,73.1512,73.902,73.528
3/24/06,74.9,74.3,74.94,74.1,73.3177,74.068,73.786
3/27/06,74.91,74.81,74.94,74.42,73.4694,74.244,74.03
3/28/06,74.52,74.81,75.3,74.33,73.5694,74.548,74.155
3/29/06,75.9,74.66,75.96,74.66,73.7914,74.902,74.351
3/30/06,75.7,75.99,76.24,75.27,73.9732,75.186,74.544
3/31/06,75.97,75.95,76,75.33,74.1633,75.4,74.734
4/3/06,75.34,76.12,76.41,75.27,74.2754,75.486,74.865
4/4/06,75.68,75.28,75.99,75.07,74.4092,75.718,75.133
4/5/06,76.07,75.9,76.2,75.27,74.5673,75.752,75.327
4/6/06,76.23,75.95,76.23,75.55,74.7257,75.858,75.522
4/7/06,75.01,76.4,76.69,74.86,74.7528,75.666,75.533
4/10/06,74.93,75.03,75.46,74.51,74.7697,75.584,75.535
4/11/06,73.6,75,75.06,73.45,74.6583,75.168,75.443
4/12/06,74.37,73.62,74.63,73.55,74.6308,74.828,75.29
4/13/06,74.56,74.19,74.93,73.76,74.6241,74.494,75.176
4/17/06,74.5,74.63,74.93,73.9,74.6122,74.392,75.029
4/18/06,76.7,74.81,76.7,74.8,74.8111,74.746,75.165
4/19/06,77.26,76.69,77.34,76.27,75.0443,75.478,75.323
4/20/06,76.85,77.33,77.33,76.23,75.2163,75.974,75.401
4/21/06,76.68,77.25,77.35,76.26,75.3557,76.398,75.446
4/24/06,76.07,76.54,76.7,75.73,75.4237,76.712,75.552
4/25/06,76.12,76.1,76.21,75.48,75.49,76.596,75.671
4/26/06,76.06,76.06,76.75,75.7,75.5443,76.356,75.917
4/27/06,75.43,75.45,76.67,74.89,75.5334,76.072,76.023
4/28/06,76.2,75.1,76.35,75.1,75.5969,75.976,76.187
5/1/06,75.26,76.32,76.64,75.26,75.5648,75.814,76.263
5/2/06,76.29,75.7,76.34,75.41,75.6339,75.848,76.222
5/3/06,76.16,76.24,76.51,75.69,75.684,75.868,76.112
5/4/06,77.09,76.25,77.09,76.25,75.8179,76.2,76.136
5/5/06,77.52,77.6,78.02,77.32,75.98,76.464,76.22
5/8/06,77.63,77.52,77.81,77.33,76.1371,76.938,76.376
5/9/06,77.52,77.57,77.79,77.35,76.2688,77.184,76.516
5/10/06,77.05,77.37,77.46,76.73,76.3432,77.362,76.615
5/11/06,75.31,77.12,77.16,75.23,76.2448,77.006,76.603
5/12/06,73.5,74.81,74.85,73.5,75.9834,76.202,76.333
5/15/06,73.17,72.94,73.71,72.35,75.7155,75.31,76.124
5/16/06,73.29,73.44,73.87,72.94,75.4845,74.464,75.824
5/17/06,71.95,72.44,73.14,71.85,75.1479,73.444,75.403
5/18/06,71.27,72.42,72.86,71.13,74.7785,72.636,74.821
5/19/06,71.9,71.4,72.18,70.58,74.5044,72.316,74.259
5/22/06,71.1,71.24,71.67,70.09,74.1802,71.902,73.606
5/23/06,70.18,71.87,72.39,69.8,73.7992,71.28,72.872
5/24/06,70.72,70.48,71.37,69.11,73.5059,71.034,72.239
5/25/06,72.21,71.45,72.28,71.04,73.3825,71.222,71.929
5/26/06,72.64,72.65,72.73,72.02,73.3118,71.37,71.843
5/30/06,70.64,72.32,72.35,70.56,73.0573,71.278,71.59
5/31/06,71.87,70.81,71.87,70.67,72.9443,71.616,71.448
6/1/06,73.27,71.87,73.34,71.65,72.9753,72.126,71.58
6/2/06,73.22,73.74,73.84,72.68,72.9986,72.328,71.775
6/5/06,71.09,73.06,73.15,70.86,72.8168,72.018,71.694
6/6/06,70.79,71.06,71.16,69.81,72.6238,72.048,71.663
6/7/06,70.1,71.05,71.82,70.01,72.3834,71.694,71.655
6/8/06,70.16,69.7,70.42,68,72.1717,71.072,71.599
6/9/06,70.12,70.55,71.1,69.5,71.9763,70.452,71.39
6/12/06,67.94,69.7,69.75,67.3,71.5919,69.822,70.92
6/13/06,66.65,67.64,68.85,66.6,71.1212,68.994,70.521
6/14/06,67.45,66.62,67.68,66.55,70.7716,68.464,70.079
6/15/06,69.76,68.04,69.97,67.91,70.6752,68.384,69.728
6/16/06,68.85,69.6,69.7,68.57,70.5014,68.13,69.291
6/19/06,67.5,69.1,69.12,67.44,70.2156,68.042,68.932
6/20/06,67.42,67.55,68.33,67.31,69.9493,68.196,68.595
6/21/06,68.49,67.39,69.06,67.25,69.8103,68.404,68.434
6/22/06,68.24,68.39,68.61,67.86,69.6608,68.1,68.242
6/23/06,68.65,68.18,69.05,67.72,69.5645,68.06,68.095
6/26/06,69.5,69.06,69.5,68.95,69.5584,68.46,68.251
6/27/06,68.3,69.54,69.83,68.02,69.4385,68.636,68.416
6/28/06,68.6,68.31,68.6,67.5,69.3587,68.658,68.531
6/29/06,71.25,68.81,71.25,68.81,69.5388,69.26,68.68
6/30/06,71.73,71.46,71.9,70.55,69.7475,69.876,68.968
7/3/06,72.63,71.98,72.63,71.76,70.022,70.502,69.481
7/5/06,71.57,71.85,72.59,70.99,70.1694,71.156,69.896
7/6/06,71.55,71.75,72.2,71.16,70.3009,71.746,70.202
7/7/06,70.49,71.44,71.64,70.35,70.3189,71.594,70.427
7/10/06,70.5,70.68,71.24,70.18,70.3362,71.348,70.612
7/11/06,71.12,70.11,71.15,69.6,70.4108,71.046,70.774
7/12/06,69.65,70.9,71.08,69.59,70.3384,70.662,70.909
7/13/06,68.07,69.1,69.6938,67.73,70.1223,69.966,70.856
7/14/06,67.53,68.08,68.21,66.95,69.8754,69.374,70.484
7/17/06,67.44,67.6,68.2,67.03,69.6435,68.762,70.055
7/18/06,67.9,67.82,68.25,66.62,69.4774,68.118,69.582
7/19/06,69.5,67.9,70,67.78,69.4796,68.088,69.375
7/20/06,67.72,70.04,70.37,67.62,69.312,68.018,68.992
7/21/06,66.75,67.64,67.65,66.35,69.068,67.862,68.618
7/24/06,68.88,67.26,68.91,67.25,69.0501,68.15,68.456
7/25/06,69.05,68.75,69.78,68.39,69.0501,68.38,68.249
7/26/06,68.9,68.93,69.6,68.12,69.0358,68.26,68.174
7/27/06,68.24,69.45,69.89,67.97,68.96,68.364,68.191
7/28/06,69.67,68.75,69.7,68.48,69.0276,68.948,68.405
7/31/06,69.68,69.43,69.83,69.06,69.0898,69.108,68.629
8/1/06,68.59,69.17,69.23,68.18,69.0422,69.016,68.698
8/2/06,69.5,69.01,69.72,68.64,69.0858,69.136,68.698
8/3/06,70.34,68.78,70.34,68.54,69.2052,69.556,68.96
8/4/06,69.62,71.13,71.31,68.97,69.2447,69.546,69.247
8/7/06,69.35,69.37,69.48,68.74,69.2547,69.48,69.294
8/8/06,68.39,69.5,69.96,68.18,69.1724,69.44,69.228
8/9/06,67.7,68.99,69.28,67.6,69.0322,69.08,69.108
8/10/06,68.3,67.3,68.61,67.03,68.9624,68.672,69.114
8/11/06,67.6,67.3,68.07,67.23,68.8327,68.268,68.907
8/14/06,68,68.1,68.82,67.68,68.7534,67.998,68.739
8/15/06,69.42,69,69.45,68.69,68.8169,68.204,68.822
8/16/06,70.42,69.95,70.52,69.49,68.9695,68.748,68.914
8/17/06,70.53,70.22,71.1,70.13,69.1182,69.194,68.933
8/18/06,70.94,70.8,70.94,70.01,69.2917,69.862,69.065
8/21/06,70.18,70.45,70.49,69.85,69.3763,70.298,69.148
8/22/06,70.41,70.1,70.62,69.97,69.4747,70.496,69.35
8/23/06,69.6,70.55,70.8,69.2,69.4867,70.332,69.54
