timestamp,close,open,high,low,EMA20,MA5,MA10
1/10/06,68.35,67.51,68.71,67.51,66.0436,67.274,66.12
1/11/06,68.43,68.55,68.76,68.13,66.2709,67.72,66.449
1/12/06,68.25,68.43,68.43,67.97,66.4594,68.036,66.774
1/13/06,67.15,67.63,67.75,67,66.5251,68.016,67.025
1/17/06,67.13,66.7,67.13,66.55,66.5827,67.862,67.323
1/18/06,67.01,66.4,67.31,66.37,66.6234,67.594,67.434
1/19/06,67.8,66.75,67.87,66.69,66.7355,67.468,67.594
1/20/06,66.92,67.7,67.79,66.88,66.7531,67.202,67.619
1/23/06,67.3,67.25,67.47,67.05,66.8052,67.232,67.624
1/24/06,67.95,67.6,68.06,67.3624,66.9142,67.396,67.629
1/25/06,67.7,68,68.33,67.58,66.989,67.534,67.564
1/26/06,67.9,67.98,68.26,67.74,67.0758,67.554,67.511
1/27/06,68.92,68.39,69.14,68.3,67.2514,67.954,67.578
1/30/06,68.67,69,69.1199,68.41,67.3865,68.228,67.73
1/31/06,68.83,68.5,69.13,68.27,67.524,68.404,67.9
2/1/06,69.19,69,69.4,68.65,67.6827,68.702,68.118
2/2/06,68.88,69.15,69.2,68.65,67.7967,68.898,68.226
2/3/06,68,68.1,68.44,67.45,67.8161,68.714,68.334
2/6/06,68.17,68.23,68.37,67.8,67.8498,68.614,68.421
2/7/06,67.64,68.1,68.55,67.64,67.8298,68.376,68.39
2/8/06,67.49,67.71,67.71,66.91,67.7974,68.036,68.369
2/9/06,67.75,67.65,68.09,67.31,67.7929,67.81,68.354
2/10/06,67.72,67.75,68.14,67.24,67.786,67.754,68.234
2/13/06,67.8,67.73,67.96,67.64,67.7873,67.68,68.147
2/14/06,68.3,67.72,68.3,67.14,67.8361,67.812,68.094
2/15/06,68.84,68.38,68.86,68.08,67.9317,68.082,68.059
2/16/06,69.43,69,69.45,68.9,68.0744,68.418,68.114
2/17/06,69.93,69.53,69.97,69.17,68.2512,68.86,68.307
2/21/06,70.01,69.95,70.38,69.76,68.4187,69.302,68.491
2/22/06,70.94,70,70.95,69.72,68.6588,69.83,68.821
2/23/06,70.75,70.94,71.1,70.35,68.858,70.212,69.147
2/24/06,70.34,70.55,70.66,70.21,68.9991,70.394,69.406
2/27/06,70.38,70.55,70.68,70.07,69.1306,70.484,69.672
2/28/06,70.05,70.55,70.55,69.82,69.2182,70.492,69.897
3/1/06,70.39,70.57,70.67,69.81,69.3298,70.382,70.106
3/2/06,70.22,70.25,70.34,69.9,69.4146,70.276,70.244
3/3/06,69.93,70,70.15,69.67,69.4636,70.194,70.294
3/6/06,71.21,70.06,71.4,70,69.63,70.36,70.422
3/7/06,70.18,70.9,71.06,70.18,69.6824,70.386,70.439
3/8/06,70.31,70,70.5,69.65,69.7421,70.37,70.376
3/9/06,71.02,70.52,71.42,70.45,69.8638,70.53,70.403
3/10/06,71.8,71.26,71.9,70.85,70.0482,70.904,70.549
3/13/06,71.53,71.47,72.24,71.14,70.1893,70.968,70.664
3/14/06,72.09,71.52,72.12,71.34,70.3704,71.35,70.868
3/15/06,73.35,72.34,73.5,72.25,70.6541,71.958,71.164
3/16/06,74.14,73.6,74.62,73.51,70.9861,72.582,71.556
3/17/06,74.98,74,75.02,73.9,71.3665,73.218,72.061
3/20/06,73.8,74.61,74.98,73.5,71.5983,73.672,72.32
3/21/06,72.72,73.65,73.79,72.57,71.7051,73.798,72.574
3/22/06,72.93,72.95,73.16,72.48,71.8217,73.714,72.836
3/23/06,72.91,73.1,73.39,72.87,71.9254,73.468,73.025
3/24/06,72.7,73,73,72.48,71.9992,73.012,73.115
3/27/06,71.98,72.5,72.59,71.85,71.9973,72.648,73.16
3/28/06,72.79,71.75,73.2,71.75,72.0728,72.662,73.23
3/29/06,74.4,73.35,74.4,73.35,72.2945,72.956,73.335
3/30/06,73.25,74.21,74.36,72.8601,72.3855,73.024,73.246
3/31/06,73.5,73.11,73.7,72.65,72.4916,73.184,73.098
4/3/06,71.9,73.15,73.64,71.9,72.4353,73.168,72.908
4/4/06,71.66,71.7,73.68,71.27,72.3614,72.942,72.802
4/5/06,72.35,71.98,72.43,71.96,72.3603,72.532,72.744
4/6/06,71.93,71.85,72.33,71.68,72.3194,72.268,72.646
4/7/06,70.86,71.55,71.95,70.75,72.1804,71.74,72.462
4/10/06,70.01,70.69,70.8,69.92,71.9737,71.362,72.265
4/11/06,69.85,70.45,70.47,69.75,71.7714,71,71.971
4/12/06,69.77,69.75,70.2,69.55,71.5808,70.484,71.508
4/13/06,68.98,69.6,69.6,68.75,71.3331,69.894,71.081
4/17/06,68.69,69.01,69.15,68.583,71.0814,69.46,70.6
4/18/06,70.32,68.9,70.69,68.8,71.0089,69.522,70.442
4/19/06,71.3,70.473,71.4,70.25,71.0366,69.812,70.406
4/20/06,71.37,71.45,71.53,70.63,71.0684,70.132,70.308
4/21/06,71.38,71.68,71.8,71.2,71.098,70.612,70.253
4/24/06,71.02,71.32,71.38,70.71,71.0906,71.078,70.269
4/25/06,70.52,70.86,71.05,70.34,71.0363,71.118,70.32
4/26/06,70.2,70.5,70.92,70.11,70.9566,70.898,70.355
4/27/06,70.9,70.1,71.21,69.69,70.9512,70.804,70.468
4/28/06,71.1,70.7,71.57,70.67,70.9654,70.748,70.68
5/1/06,70,71.2,71.46,70,70.8734,70.544,70.811
5/2/06,69.44,70.4,70.4,69.13,70.7369,70.328,70.723
5/3/06,69.51,69.3,69.75,69.04,70.6201,70.19,70.544
5/4/06,70.34,70,70.79,69.85,70.5934,70.078,70.441
5/5/06,71.6,70.85,71.74,70.65,70.6893,70.178,70.463
5/8/06,71.83,71.49,71.96,71.41,70.7979,70.544,70.544
5/9/06,71.85,72.05,72.1,71.41,70.8981,71.026,70.677
5/10/06,71.91,71.65,72.23,71.43,70.9945,71.506,70.848
5/11/06,70.34,71.88,72.04,70.26,70.9322,71.506,70.792
5/12/06,69.28,69.82,70,68.82,70.7748,71.042,70.61
5/15/06,70.2,69.03,70.32,68.66,70.7201,70.716,70.63
5/16/06,70.06,70.54,70.61,69.93,70.6572,70.358,70.692
5/17/06,68.6,69.1,69.48,68.45,70.4613,69.696,70.601
5/18/06,68.41,69.1,69.45,68.18,70.2659,69.31,70.408
5/19/06,68.27,68.49,68.97,67.5,70.0758,69.108,70.075
5/22/06,67.82,67.8,68.01,67.15,69.861,68.632,69.674
5/23/06,67.3599,68.3,68.62,67.26,69.6228,68.092,69.225
5/24/06,67.47,67.5,68,66.58,69.4178,67.866,68.781
5/25/06,68.75,67.65,69.04,67.65,69.3542,67.934,68.622
5/26/06,69.4,68.84,69.61,68.84,69.3585,68.16,68.634
5/30/06,68.85,69.25,69.4,68.77,69.3101,68.366,68.499
5/31/06,68.75,69.2,69.35,67.98,69.2568,68.644,68.368
6/1/06,70.19,68.74,70.2,68.74,69.3456,69.188,68.527
6/2/06,70.95,70.8,71.18,70.26,69.4984,69.628,68.781
6/5/06,71.05,70.95,72.35,70.6,69.6462,69.958,69.059
6/6/06,70.34,71.2,71.23,70.2,69.7123,70.256,69.311
6/7/06,70.62,70.24,71.22,70.07,69.7987,70.63,69.637
6/8/06,70.3,70.04,70.73,69.3601,69.8465,70.652,69.92
6/9/06,71.02,70.95,71.15,70.45,69.9582,70.666,70.147
6/12/06,69.91,70.9,70.9,69.79,69.9536,70.438,70.198
6/13/06,69,69.85,70.4,69,69.8628,70.17,70.213
6/14/06,68.89,68.95,69.35,68.55,69.7702,69.824,70.227
6/15/06,70.09,69.33,70.24,69.2,69.8006,69.782,70.217
6/16/06,70.28,70.16,70.35,69.74,69.8463,69.634,70.15
6/19/06,69.65,70.46,70.6,69.64,69.8276,69.582,70.01
6/20/06,69.22,69.85,69.87,69.14,69.7697,69.626,69.898
6/21/06,69.45,69.25,70.15,69.14,69.7393,69.738,69.781
6/22/06,68.96,69.15,69.5,68.84,69.6651,69.512,69.647
6/23/06,68.7,68.85,68.91,68.48,69.5731,69.196,69.415
6/26/06,69.39,68.7,69.44,68.7,69.5557,69.144,69.363
6/27/06,69.25,69.52,69.7,69.15,69.5266,69.15,69.388
6/28/06,69.49,69.05,69.65,69.05,69.5231,69.158,69.448
6/29/06,70.91,69.98,71,69.77,69.6552,69.548,69.53
6/30/06,71.25,71.23,71.93,70.91,69.8071,70.058,69.627
7/3/06,72.54,71.6,72.6,71.6,70.0674,70.688,69.916
7/5/06,72.48,72.5,72.77,71.63,70.2971,71.334,70.242
7/6/06,72.7,72.5,72.81,72.28,70.526,71.976,70.567
7/7/06,72.4,72.7,73.15,72.26,70.7045,72.274,70.911
7/10/06,73.15,72.3,73.15,72.3,70.9374,72.654,71.356
7/11/06,73.13,73.15,73.3299,72.69,71.1462,72.772,71.73
7/12/06,73.45,73.39,73.5,73.04,71.3656,72.966,72.15
7/13/06,72.31,73.23,73.5,72.3,71.4555,72.888,72.432
7/14/06,71.34,72.75,72.75,71.3,71.4445,72.676,72.475
7/17/06,71.29,71.3,71.63,71.05,71.4298,72.304,72.479
7/18/06,72.14,71.65,72.14,71.2,71.4975,72.106,72.439
7/19/06,73.86,72.4,73.86,72.24,71.7225,72.188,72.577
7/20/06,72.95,73.83,74,72.88,71.8394,72.316,72.602
7/21/06,71.59,72.88,72.88,71.45,71.8156,72.366,72.521
7/24/06,72.84,71.96,72.85,71.55,71.9132,72.676,72.49
7/25/06,73.34,72.8,73.38,72.59,72.0491,72.916,72.511
7/26/06,73.65,73.3,73.68,73.13,72.2015,72.874,72.531
7/27/06,73.1,73.8,74.25,73.09,72.2871,72.904,72.61
7/28/06,74.19,73.75,74.27,73.53,72.4683,73.424,72.895
7/31/06,73.85,73.8,74.2,73.53,72.5999,73.626,73.151
8/1/06,73.5,73.4,73.79,72.83,72.6856,73.658,73.287
8/2/06,73.5,73.75,73.8,73.32,72.7632,73.628,73.251
8/3/06,74.29,73.6,74.31,73.09,72.9086,73.866,73.385
8/4/06,75.4,75.1,75.59,74.96,73.1459,74.108,73.766
8/7/06,74.58,75.3,75.3,74.4,73.2825,74.254,73.94
8/8/06,73.36,74.35,74.59,73.2,73.2899,74.226,73.942
8/9/06,72.68,73.5,73.65,72.68,73.2318,74.062,73.845
8/10/06,72.83,72.45,72.94,72.02,73.1935,73.77,73.818
8/11/06,72.23,72.45,73.28,71.95,73.1017,73.136,73.622
8/14/06,72.9,72.3,73.46,72.3,73.0825,72.8,73.527
8/15/06,73.75,73.85,74.05,73.53,73.1461,72.878,73.552
8/16/06,73.95,73.95,74.05,73.8,73.2227,73.132,73.597
8/17/06,74.03,73.73,74.25,73.7,73.2996,73.372,73.571
8/18/06,74.05,74.1,74.21,73.68,73.371,73.736,73.436
8/21/06,74.48,73.9,74.53,73.9,73.4766,74.052,73.426
8/22/06,75.15,74.5,75.15,74.31,73.636,74.332,73.605
8/23/06,74.31,75.25,75.27,74.2,73.7002,74.404,73.768
8/24/06,74.66,74.5,74.77,74.33,73.7916,74.53,73.951
8/25/06,74.58,74.8,74.93,74.53,73.8667,74.636,74.186
8/28/06,75.5,74.6,75.55,74.58,74.0222,74.84,74.446
8/29/06,75.5,75.36,75.53,74.92,74.163,74.91,74.621
8/30/06,76.05,75.58,76.06,75.55,74.3427,75.258,74.831
8/31/06,76.05,76.05,76.37,75.93,74.5053,75.536,75.033
9/1/06,75.67,76.1,76.27,75.62,74.6162,75.754,75.195
9/5/06,76.31,76.45,76.45,75.5734,74.7775,75.916,75.378
9/6/06,75.92,76.3,76.3,75.91,74.8863,76,75.455
9/7/06,75.43,75.53,75.92,75.24,74.9381,75.876,75.567
9/8/06,76.2,75.45,76.2,74.88,75.0583,75.906,75.721
9/11/06,76.31,76.05,76.48,75.41,75.1775,76.034,75.894
9/12/06,77.3,76.35,77.53,76,75.3796,76.232,76.074
9/13/06,78,77.9,78.18,77.26,75.6292,76.648,76.324
9/14/06,78,77.66,78,77.2,75.855,77.162,76.519
9/15/06,78.2,78.05,78.31,77.95,76.0783,77.562,76.734
9/18/06,77.75,78.2,78.2,77.52,76.2375,77.85,76.942
9/19/06,78.25,77.85,78.25,77.55,76.4292,78.04,77.136
9/20/06,78,78.4,78.75,77.81,76.5788,78.04,77.344
9/21/06,77.2,78.1,78.15,76.94,76.638,77.88,77.521
9/22/06,77.6,77.15,77.61,76.7,76.7296,77.76,77.661
9/25/06,77.55,77.74,77.84,77.01,76.8077,77.72,77.785
9/26/06,76.85,76.85,77.07,76.6,76.8117,77.44,77.74
9/27/06,77.52,76.75,77.55,76.63,76.8792,77.344,77.692
9/28/06,77.25,77.65,77.91,76.93,76.9145,77.354,77.617
9/29/06,77.15,77.48,77.5897,77.12,76.9369,77.264,77.512
10/2/06,77.13,77,77.65,76.54,76.9553,77.18,77.45
10/3/06,77.88,77.3,78.08,77.16,77.0434,77.386,77.413
10/4/06,78.75,77.95,78.75,77.9,77.2059,77.632,77.488
10/5/06,79.23,78.77,79.3,78.76,77.3987,78.028,77.691
10/6/06,78.65,79,79.07,78.46,77.5179,78.328,77.796
10/9/06,79.18,78.7,79.29,78,77.6762,78.738,77.959
10/10/06,79.21,79.4,79.67,78.39,77.8222,79.004,78.195
10/11/06,79,79,79.45,78.53,77.9344,79.054,78.343
10/12/06,79.75,79.4,79.75,79,78.1073,79.158,78.593
10/13/06,80.52,79.7,80.52,79.6,78.3371,79.532,78.93
10/16/06,80.86,80.72,80.87,80.52,78.5774,79.868,79.303
10/17/06,80.46,80.5,80.85,80.4,78.7567,80.118,79.561
10/18/06,80.95,80.75,81.0824,80.6,78.9656,80.508,79.781
10/19/06,80.75,81.1,81.17,80.5502,79.1355,80.708,79.933
10/20/06,80.65,80.9,80.93,80.133,79.2797,80.734,80.133
10/23/06,81.03,80.49,81.1,80.14,79.4464,80.768,80.318
10/24/06,80.8,80.3,81.09,80.3,79.5753,80.836,80.477
10/25/06,81.21,80.63,81.4,80.63,79.731,80.888,80.698
10/26/06,82,81.24,82.14,81.24,79.9471,81.138,80.923
10/27/06,81.47,82.1,82.12,81.47,80.0922,81.302,81.018
10/30/06,82.25,81.62,82.25,81.27,80.2977,81.546,81.157
10/31/06,82.15,82.55,82.55,81.7,80.4741,81.816,81.326
11/1/06,81.45,82.27,82.42,81.29,80.567,81.864,81.376
11/2/06,79.88,80.89,81.15,79.51,80.5016,81.44,81.289
11/3/06,79.1,80.05,80.16,78.4,80.3681,80.966,81.134
11/6/06,79.78,79.75,79.9544,78.87,80.3121,80.472,81.009
11/7/06,79.03,79.78,79.78,78.98,80.19,79.848,80.832
11/8/06,79.21,78.6,79.47,78.28,80.0967,79.4,80.632
11/9/06,79.41,79.25,79.68,78.92,80.0313,79.306,80.373
11/10/06,79.75,79.42,79.9,79.22,80.0045,79.436,80.201
11/13/06,79.89,79.51,80.08,79.51,79.9936,79.458,79.965
11/14/06,80.72,79.7,80.98,79.7,80.0628,79.796,79.822
11/15/06,80.9,80.87,81.26,80.62,80.1425,80.134,79.767
11/16/06,81.3,81.24,81.49,80.98,80.2527,80.512,79.909
11/17/06,81.2,81.11,81.3,80.95,80.3429,80.802,80.119
11/20/06,83.77,82.74,86.56,82.65,80.6693,81.578,80.518
11/21/06,85.2,84.05,85.33,83.86,81.1008,82.474,81.135
11/22/06,85.44,85.4,85.82,84.95,81.5141,83.382,81.758
11/24/06,85.85,85.2,85.88,85.14,81.927,84.292,82.402
11/27/06,83.52,85.8,85.8,83.52,82.0787,84.756,82.779
11/28/06,83.75,83.52,83.92,83.01,82.2379,84.752,83.165
11/29/06,85,84.1,85.14,84.01,82.501,84.712,83.593
11/30/06,85.95,85.06,86.19,84.7,82.8294,84.814,84.098
12/1/06,85.75,86,86.29,85.19,83.1076,84.794,84.543
12/4/06,86.85,85.75,87.02,85.7,83.464,85.46,85.108
12/5/06,86.22,87.3,87.3,86.08,83.7265,85.954,85.353
12/6/06,86.13,85.94,86.15,85.19,83.9554,86.18,85.446
12/7/06,85.2,86.24,86.24,85.1,84.0739,86.03,85.422
12/8/06,85.24,85.49,85.72,85.1,84.185,85.928,85.361
12/11/06,85.7,85.47,85.89,85.19,84.3293,85.698,85.579
12/12/06,85.31,85.7,86.02,85.08,84.4227,85.516,85.735
12/13/06,84.84,85.7,85.85,84.4,84.4624,85.258,85.719
12/14/06,85,85.12,85.32,84.86,84.5136,85.218,85.624
12/15/06,84.5,85.25,85.33,84.25,84.5123,85.07,85.499
12/18/06,84.25,84.9,85.09,84.11,84.4873,84.78,85.239
12/19/06,83.6,83.9,83.99,82.89,84.4028,84.438,84.977
12/20/06,83.2,83.1,83.52,82.92,84.2883,84.11,84.684
12/21/06,82.4,83.43,83.62,82.4,84.1084,83.59,84.404
12/22/06,81.76,82.3,82.44,81.69,83.8848,83.042,84.056
12/26/06,82.58,82,82.88,82,83.7605,82.708,83.744
12/27/06,83.3,82.85,83.44,82.69,83.7167,82.648,83.543
12/28/06,83.55,83.33,83.88,82.97,83.7008,82.718,83.414
12/29/06,83.35,83.6,84.23,83.35,83.6674,82.908,83.249
1/3/07,83.87,83.92,84.54,83.17,83.6867,83.33,83.186
1/4/07,83.85,83.8,84,83.35,83.7022,83.584,83.146
1/5/07,82.55,83.52,83.76,82.34,83.5925,83.434,83.041
1/8/07,82.53,82.5,82.66,82.01,83.4913,83.23,82.974
1/9/07,83.5,82.5,83.79,82.5,83.4921,83.26,83.084
1/10/07,84.83,83.48,84.85,83.15,83.6195,83.452,83.391
1/11/07,85.8,85.03,86.27,84.9,83.8272,83.842,83.713
1/12/07,86.1,85.87,86.28,85.73,84.0437,84.552,83.993
1/16/07,87.09,86.15,87.42,86.15,84.3338,85.464,84.347
1/17/07,87.35,86.85,87.64,86.35,84.621,86.234,84.747
1/18/07,87.05,87.35,87.6,86.83,84.8524,86.678,85.065
1/19/07,87.82,87,87.97,86.71,85.135,87.082,85.462
1/22/07,87.55,88,88,87.29,85.365,87.372,85.962
1/23/07,87.8,87.7,88.17,87.44,85.5969,87.514,86.489
1/24/07,89,87.97,89.1,87.8,85.921,87.844,87.039
1/25/07,89.53,89.5,90.27,89.21,86.2647,88.34,87.509
1/26/07,89.8,89.55,89.87,89.05,86.6014,88.736,87.909
1/29/07,90.06,89.83,90.24,89.47,86.9308,89.238,88.305
1/30/07,90.37,90.24,90.39,89.56,87.2584,89.752,88.633
1/31/07,91.4,90.38,91.42,90.03,87.6528,90.232,89.038
2/1/07,91.35,90.68,91.56,90.33,88.0049,90.596,89.468
2/2/07,92,91.45,92,91.12,88.3854,91.036,89.886
2/5/07,91.94,92.04,92.05,91.68,88.7239,91.412,90.325
2/6/07,93.2,92.11,93.2,92.11,89.1502,91.978,90.865
2/7/07,94.57,93.01,94.85,92.47,89.6664,92.612,91.422
2/8/07,93.85,94.22,94.99,93.82,90.0648,93.112,91.854
2/9/07,92.52,93.95,94.3,90.74,90.2987,93.216,92.126
2/12/07,90.97,92.19,92.36,90.62,90.3626,93.022,92.217
2/13/07,92.59,91.1,92.67,90.17,90.5747,92.9,92.439
