timestamp,close,open,high,low,EMA20,MA5,MA10
1/10/06,142.48,139.5,142.75,139.43,133.8067,139.2,134.721
1/11/06,144,142.01,144.72,139.5,134.7775,140.34,136.304
1/12/06,140.97,144.68,145.77,140.72,135.3672,141.434,137.378
1/13/06,142.42,140.28,143.29,140.24,136.0389,141.918,138.805
1/17/06,144.87,144.9,145.65,144.15,136.88,142.948,140.412
1/18/06,143.54,144.55,144.71,141.41,137.5143,143.16,141.18
1/19/06,148.78,144,149.35,143.66,138.5872,144.116,142.228
1/20/06,151.75,150.77,153.93,149.45,139.8408,146.272,143.853
1/23/06,155.33,151.62,155.7,150.17,141.316,148.854,145.386
1/24/06,153.67,153.96,155.1,152.85,142.4925,150.614,146.781
1/25/06,149,154.3,154.3,147.5,143.1123,151.706,147.433
1/26/06,150.19,147.98,150.29,144.9,143.7864,151.988,148.052
1/27/06,152.89,152.71,155,149.63,144.6534,152.216,149.244
1/30/06,157.15,155.65,157.86,154.2,145.8435,152.58,150.717
1/31/06,155.52,156.54,156.86,153.63,146.7651,152.95,151.782
2/1/06,149.4,156.56,156.9,149.4,147.016,153.03,152.368
2/2/06,148.25,149.45,151.79,145.8,147.1336,152.642,152.315
2/3/06,149.57,148.82,151.76,146.6,147.3656,151.978,152.097
2/6/06,153.69,151.75,154.24,151.15,147.9679,151.286,151.933
2/7/06,144.9,149.7,153.501,144.05,147.6757,149.162,151.056
2/8/06,145.48,145,146.81,141.55,147.4666,148.378,150.704
2/9/06,141.45,146.6,147.69,140.75,146.8936,147.018,149.83
2/10/06,142.71,140.3,143.54,138.4,146.4952,145.646,148.812
2/13/06,141.45,141.9,144.27,139.92,146.0147,143.198,147.242
2/14/06,137.14,137.4,139,136,145.1695,141.646,145.404
2/15/06,133.55,137.83,138.28,132,144.0629,139.26,143.819
2/16/06,136.86,135.76,137.32,134.65,143.3769,138.342,142.68
2/17/06,136.51,139.4,139.72,136.06,142.7229,137.102,141.374
2/21/06,142.34,139.69,142.83,139.42,142.6864,137.28,140.239
2/22/06,138.55,140.75,141.28,137.75,142.2925,137.562,139.604
2/23/06,138.66,138.43,141.1,136.2,141.9465,138.584,138.922
2/24/06,139.99,141.03,141.75,139.74,141.7602,139.21,138.776
2/27/06,136.25,138.75,139.18,136.2,141.2354,139.158,138.13
2/28/06,136.26,135.74,137.83,133.56,140.7616,137.942,137.611
3/1/06,139,137.26,139.34,137.26,140.5938,138.032,137.797
3/2/06,143,140.38,143.71,139.83,140.823,138.9,138.742
3/3/06,143.04,142.3,144.36,142.07,141.0341,139.51,139.36
3/6/06,137.01,142,142.16,136.9,140.6509,139.662,139.41
3/7/06,133.86,136.61,137.11,132.5,140.0041,139.182,138.562
3/8/06,134.08,131.11,135.29,130.53,139.4399,138.198,138.115
3/9/06,133.41,135.3,136.04,132.5,138.8656,136.28,137.59
3/10/06,134.36,132.65,136.05,131.15,138.4365,134.544,137.027
3/13/06,137.27,136.38,137.8,135.2,138.3254,134.596,137.129
3/14/06,140.6,137.85,140.81,135.83,138.5421,135.944,137.563
3/15/06,140.7,139.67,140.7,138.25,138.7476,137.268,137.733
3/16/06,142.76,140.15,143.44,138.92,139.1297,139.138,137.709
3/17/06,141.18,142.8,143.22,140.56,139.325,140.502,137.523
3/20/06,136.6,136.7,142.46,136.3,139.0655,140.368,137.482
3/21/06,136.55,135.8,139.2,135.16,138.8259,139.558,137.751
3/22/06,137.86,136.51,140.09,136.16,138.7339,138.99,138.129
3/23/06,140.98,139.2,141.35,138.79,138.9478,138.634,138.886
3/24/06,142.65,141.59,143.4,140.47,139.3004,138.928,139.715
3/27/06,142.7,141.58,143.6,140.06,139.6242,140.148,140.258
3/28/06,146.35,144.48,146.89,144.1,140.2647,142.108,140.833
3/29/06,148.5,146.52,148.73,145.87,141.049,144.236,141.613
3/30/06,150,148.9,150.25,148,141.9015,146.04,142.337
3/31/06,146.81,148.35,149.8179,145.5,142.369,146.872,142.9
4/3/06,147.09,149.1,151.47,146.85,142.8186,147.75,143.949
4/4/06,150.12,146.38,150.13,145.48,143.514,148.504,145.306
4/5/06,152.73,150.99,152.98,148.7,144.3917,149.35,146.793
4/6/06,153.52,153.7,154.7,151.38,145.2611,150.054,148.047
4/7/06,150.79,153.3,153.65,149.85,145.7876,150.85,148.861
4/10/06,154.07,153.25,154.43,151.8,146.5764,152.246,149.998
