timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,WVAD,RSI,TEDRATE,TradeWeightedUSDollarIndex,VIX close
1/10/06,128.9,128.39,128.98,128.26,44965400,94.5643,94.6416,126.828,128.158,126.841,-3.4043,66.0759,0.38,110.3124,10.86
1/11/06,129.31,129.02,129.44,128.73,49608100,93.9775,94.3996,127.0644,128.56,127.225,-2.5591,67.8227,0.38,110.0376,10.94
1/12/06,128.8,129.08,129.28,128.44,40525300,85.791,91.4443,127.2297,128.844,127.53,-12.5984,63.4464,0.37,110.2115,11.2
1/13/06,128.68,128.57,128.9,128.2,44864900,67.6208,82.4631,127.3678,128.892,127.879,-14.9606,62.4258,0.36,110.1404,11.23
1/17/06,128.33,128.2,128.42,127.81,52188600,46.6141,66.6753,127.4594,128.804,128.261,-21.8504,59.4231,0.35,110.4437,11.91
1/18/06,127.79,127.58,128.9,127.16,75493200,32.7477,48.9942,127.4909,128.582,128.37,-32.4803,55.0255,0.36,110.5998,12.25
1/19/06,128.31,128.09,128.77,127.81,78077700,37.9262,39.096,127.5689,128.382,128.471,-22.2441,58.2311,0.37,110.3693,11.98
1/20/06,125.97,128.28,128.31,125.97,115316800,27.2923,32.6554,127.4167,127.816,128.33,-68.3071,43.2812,0.34,110.0909,14.56
1/23/06,126.42,126.21,126.82,126.13,67103700,23.2012,29.4732,127.3217,127.364,128.128,-59.802,46.1447,0.33,109.5556,13.93
1/24/06,126.55,126.63,127.15,126.42,53016400,11.7179,20.7371,127.2482,127.008,127.906,-83.2853,46.9775,0.32,109.5063,13.31
1/25/06,126.66,127.04,127.18,125.84,87792300,21.0466,18.6552,127.1922,126.782,127.682,-77.2222,47.7143,0.32,109.5185,12.87
1/26/06,127.36,127.25,127.67,126.76,71294000,36.44,23.0682,127.2082,126.592,127.487,-57.7778,52.2604,0.33,109.6482,12.42
1/27/06,128.54,127.65,128.66,127.45,65790900,61.7565,39.7477,127.335,127.106,127.461,-25,58.7685,0.3,109.8192,11.97
1/30/06,128.44,128.44,128.81,128.35,33710200,81.6084,59.935,127.4403,127.51,127.437,-27.7778,58.0463,0.31,109.9004,12.39
1/31/06,127.5,128.32,128.54,127.49,73131200,79.7263,74.3638,127.446,127.7,127.354,-53.8889,51.6242,0.32,109.6027,12.95
2/1/06,128.39,127.87,128.43,127.72,63562900,74.3155,78.5501,127.5359,128.046,127.414,-25.8721,56.5283,0.34,109.8086,12.36
2/2/06,126.9,128.1,128.14,126.8,83628600,46.7932,66.945,127.4753,127.954,127.273,-65.3595,47.7931,0.34,110.0036,13.23
2/3/06,126.27,126.61,128.39,126.14,85535600,29.7854,50.298,127.3605,127.5,127.303,-85.9477,44.6513,0.34,110.3188,12.96
2/6/06,126.6,126.44,126.8,126.17,45380400,9.6702,28.7496,127.2881,127.132,127.321,-75.1634,46.6304,0.33,110.3068,13.04
2/7/06,125.48,126.37,126.66,125.4,71227600,8.8919,16.1159,127.1159,126.728,127.214,-97.654,41.2406,0.32,110.3424,13.59
2/8/06,126.62,125.89,128.1,125.6,57039100,20.8699,13.144,127.0687,126.374,127.21,-64.2229,47.8482,0.33,110.663,12.83
2/9/06,126.41,126.89,127.6,126.37,61886600,25.7407,18.5009,127.0059,126.276,127.115,-70.3812,46.8041,0.32,110.3916,13.12
2/10/06,126.64,126.43,127.13,125.45,64400600,40.1693,28.9266,126.9711,126.35,126.925,-63.6364,48.1389,0.3,110.4647,12.87
2/13/06,126.41,126.57,126.79,125.95,52293900,39.0375,34.9825,126.9176,126.312,126.722,-70.3812,46.8723,0.3,110.5447,13.35
2/14/06,127.75,126.31,128.03,123.64,90610000,58.4953,45.9007,126.9969,126.766,126.747,-20.5029,54.4001,0.31,110.5312,12.25
