0,1,2
12/17/03,36.3985,51.4924
12/18/03,47.817,44.8023
12/19/03,66.3355,50.1837
12/22/03,80.9109,65.0211
12/23/03,54.1667,67.1377
12/24/03,51.6799,62.2525
12/26/03,60.4762,55.4409
12/29/03,80.4762,64.2108
12/30/03,61.3333,67.4286
12/31/03,33.641,58.4835
1/2/04,22.8474,39.2739
1/5/04,23.6709,26.7198
1/6/04,49.645,32.0544
1/7/04,69.4242,47.58
1/8/04,78.2818,65.7836
1/9/04,78.3908,75.3656
1/12/04,74.0967,76.9231
1/13/04,89.7488,80.7454
1/14/04,90.7129,84.8528
1/15/04,99.3548,93.2722
1/16/04,93.0655,94.3777
1/20/04,82.97,91.7968
1/21/04,80.8332,85.6229
1/22/04,85.2498,83.0177
1/23/04,62.6573,76.2468
1/26/04,32.4943,60.1338
1/27/04,12.6615,35.9377
1/28/04,14.6515,19.9358
1/29/04,19.9966,15.7699
1/30/04,33.6663,22.7715
2/2/04,59.5895,37.7508
2/3/04,82.4675,58.5744
2/4/04,86.4265,76.1612
2/5/04,75.8465,81.5802
2/6/04,73.0857,78.4529
2/9/04,75.6298,74.854
2/10/04,79.3693,76.0283
2/11/04,80.7471,78.5821
2/12/04,62.5266,74.2143
2/13/04,74.7871,72.687
2/17/04,65.2027,67.5055
2/18/04,70.5015,70.1638
2/19/04,52.2088,62.6376
2/20/04,37.5342,53.4148
2/23/04,45.5782,45.107
2/24/04,59.3664,47.4929
2/25/04,89.0852,64.6766
2/26/04,95.4955,81.3157
2/27/04,98.8024,94.461
3/1/04,98.442,97.58
3/2/04,91.0801,96.1082
3/3/04,82.4343,90.6521
3/4/04,69.7788,81.0977
3/5/04,70.9531,74.3887
3/8/04,78.965,73.2323
3/9/04,90.4377,80.1186
3/10/04,89.7395,86.3807
3/11/04,64.6771,81.6181
3/12/04,34.6791,63.0319
3/15/04,18.9842,39.4468
3/16/04,44.4597,32.7077
3/17/04,74.123,45.8556
3/18/04,90.6003,69.7277
3/19/04,71.525,78.7494
3/22/04,55.1337,72.4196
3/23/04,45.5281,57.3956
3/24/04,61.3708,54.0109
3/25/04,72.5289,59.8093
3/26/04,63.0345,65.6447
3/29/04,39.8121,58.4585
3/30/04,20.4864,41.111
3/31/04,28.1139,29.4708
4/1/04,31.6285,26.7429
4/2/04,26.0535,28.5986
4/5/04,11.2349,22.9723
4/6/04,5.0775,14.122
4/7/04,4.4885,6.9336
4/8/04,7.3783,5.6481
4/12/04,11.8264,7.8977
4/13/04,12.7467,10.6505
4/14/04,12.1813,12.2514
4/15/04,6.3052,10.411
4/16/04,23.6999,14.0621
4/19/04,47.1032,25.7028
4/20/04,46.7143,39.1725
4/21/04,37.399,43.7388
4/22/04,17.3017,33.805
4/23/04,17.7898,24.1635
4/26/04,18.1949,17.7621
4/27/04,32.4589,22.8145
4/28/04,32.7252,27.793
4/29/04,24.6079,29.9307
4/30/04,13.0675,23.4669
5/3/04,15.0796,17.585
5/4/04,15.6568,14.6013
5/5/04,8.8796,13.2053
5/6/04,6.7633,10.4332
5/7/04,10.1923,8.6117
5/10/04,12.3846,9.7801
5/11/04,26.3807,16.3192
5/12/04,44.0011,27.5888
5/13/04,68.7047,46.3622
5/14/04,84.4474,65.7177
5/17/04,94.134,82.4287
5/18/04,96.2538,91.6117
5/19/04,95.4369,95.2749
5/20/04,94.9442,95.545
5/21/04,78.2747,89.5519
5/24/04,66.6682,79.9624
5/25/04,49.6321,64.8584
5/26/04,60.7701,59.0235
5/27/04,74.5427,61.6483
5/28/04,88.5,74.6043
6/1/04,78.5494,80.5307
6/2/04,49.0212,72.0235
6/3/04,22.5113,50.0273
6/4/04,7.8264,26.453
6/7/04,13.6,14.6459
6/8/04,11.1744,10.867
6/9/04,16.8965,13.8903
6/10/04,17.8868,15.3192
6/14/04,19.0719,17.9517
6/15/04,40.4256,25.7948
6/16/04,56.7516,38.7497
6/17/04,85.7135,60.9636
6/18/04,86.2587,76.2412
6/21/04,89.547,87.173
6/22/04,81.42,85.7419
6/23/04,74.3392,81.7687
6/24/04,62.933,72.8974
6/25/04,54.632,63.9681
6/28/04,34.2996,50.6216
6/29/04,30.9326,39.9547
6/30/04,49.0231,38.0851
7/1/04,80.7841,53.58
7/2/04,98.8918,76.233
7/6/04,95.4807,91.7189
7/7/04,85.9569,93.4431
7/8/04,75.2566,85.5647
7/9/04,55.3651,72.1929
7/12/04,35.9034,55.5084
7/13/04,20.785,37.3511
7/14/04,34.785,30.4911
7/15/04,58.1455,37.9052
7/16/04,82.3237,58.4181
7/19/04,89.4177,76.629
7/20/04,79.4872,83.7429
7/21/04,58.0266,75.6438
7/22/04,39.504,59.0059
7/23/04,43.1548,46.8951
7/26/04,46.9484,43.2024
7/27/04,36.5142,42.2058
7/28/04,24.1542,35.8723
7/29/04,26.4706,29.0463
7/30/04,58.3333,36.3194
8/2/04,70.7523,51.8521
8/3/04,81.6646,70.2501
8/4/04,69.9979,74.1383
8/5/04,77.3721,76.3449
8/6/04,79.9402,75.7701
8/9/04,85.8926,81.0683
8/10/04,76.7189,80.8506
8/11/04,74.3634,78.9917
8/12/04,78.0662,76.3829
8/13/04,88.8485,80.426
8/16/04,81.6286,82.8478
8/17/04,72.1817,80.8863
8/18/04,48.3781,67.3961
8/19/04,50.9839,57.1812
8/20/04,54.6797,51.3472
8/23/04,52.5792,52.7476
8/24/04,35.2916,47.5168
8/25/04,15.2191,34.3633
8/26/04,21.9931,24.168
8/27/04,40.2953,25.8358
8/30/04,67.6175,43.302
8/31/04,84.2966,64.0698
9/1/04,78.9558,76.9566
9/2/04,47.2749,70.1758
9/3/04,26.3263,50.8523
9/7/04,10.7444,28.1152
9/8/04,29.1815,22.0841
9/9/04,38.9333,26.2864
9/10/04,56.0483,41.3877
9/13/04,65.2435,53.4083
9/14/04,77.8947,66.3955
9/15/04,65.3494,69.4959
9/16/04,63.6045,68.9496
9/17/04,51.248,60.0673
9/20/04,76.6117,63.8214
9/21/04,77.918,68.5925
9/22/04,93.365,82.6315
9/23/04,80.5944,83.9591
9/24/04,66.3504,80.1033
9/27/04,65.3081,70.751
9/28/04,77.2609,69.6398
9/29/04,80.0066,74.1919
9/30/04,65.7925,74.3533
10/1/04,39.745,61.848
10/4/04,29.228,44.9218
10/5/04,26.2793,31.7508
10/6/04,20.6771,25.3948
10/7/04,27.8725,24.9429
10/8/04,46.3418,31.6304
10/11/04,77.3083,50.5075
10/12/04,94.1869,72.6123
10/13/04,94.1364,88.5439
10/14/04,93.6963,94.0065
10/15/04,88.5673,92.1333
10/18/04,80.3509,87.5381
10/19/04,75.0877,81.3353
10/20/04,83.1579,79.5322
10/21/04,91.6566,83.3007
10/22/04,99.7268,91.5138
10/25/04,93.6043,94.9959
10/26/04,81.921,91.7507
10/27/04,51.2544,75.5932
10/28/04,39.5101,57.5618
10/29/04,40.2667,43.6771
11/1/04,46.0058,41.9275
11/2/04,55.7565,47.343
11/3/04,65.1449,55.6357
11/4/04,75.8881,65.5965
11/5/04,60.6444,67.2258
11/8/04,35.6844,57.4056
11/9/04,19.4226,38.5838
11/10/04,14.18,23.0956
11/11/04,30.4755,21.3593
11/12/04,55.9217,33.5257
11/15/04,83.9122,56.7698
11/16/04,90.8796,76.9045
11/17/04,91.7474,88.8464
11/18/04,92.0858,91.5709
11/19/04,83.8298,89.221
11/22/04,85.1551,87.0236
11/23/04,75.6037,81.5295
11/24/04,83.0871,81.2819
11/26/04,68.7687,75.8198
11/29/04,49.4616,67.1058
11/30/04,23.5104,47.2469
12/1/04,11.7588,28.2436
12/2/04,9.6698,14.9797
12/3/04,30.17,17.1995
12/6/04,55.3973,31.7457
12/7/04,83.9416,56.503
12/8/04,93.674,77.671
12/9/04,87.2779,88.2978
12/10/04,73.2877,84.7465
12/13/04,61.8988,74.1548
12/14/04,63.5056,66.2307
12/15/04,80.1723,68.5256
12/16/04,72.4729,72.0503
12/17/04,64.6724,72.4392
12/20/04,55.2707,64.1386
12/21/04,73.8381,64.5937
12/22/04,77.5775,68.8954
12/23/04,78.9063,76.7739
12/27/04,53.0043,69.8293
12/28/04,39.5784,57.163
12/29/04,18.2574,36.9467
12/30/04,26.1317,27.9892
12/31/04,25.0535,23.1475
1/3/05,33.8334,28.3395
1/4/05,19.0484,25.9784
1/5/05,17.2291,23.3703
1/6/05,12.3529,16.2102
1/7/05,14.902,14.828
1/10/05,14.3137,13.8562
1/11/05,21.8552,17.0236
1/12/05,51.1105,29.0931
1/13/05,78.7567,50.5741
1/14/05,89.6066,73.1579
1/18/05,83.3126,83.892
1/19/05,73.2501,82.0565
1/20/05,64.257,73.6066
1/21/05,64.6088,67.372
1/24/05,75.4111,68.0923
1/25/05,64.0521,68.024
1/26/05,49.1704,62.8779
1/27/05,26.6667,46.6297
1/28/05,46.6667,40.8346
1/31/05,67.6863,47.0065
2/1/05,73.5389,62.6306
2/2/05,58.627,66.6174
2/3/05,31.4463,54.5374
2/4/05,40.0322,43.3685
2/7/05,61.0061,44.1615
2/8/05,89.5202,63.5195
2/9/05,97.6054,82.7106
2/10/05,85.2218,90.7825
2/11/05,71.4611,84.7628
2/14/05,65.6293,74.1041
2/15/05,49.5063,62.1989
2/16/05,36.1065,50.414
2/17/05,14.1692,33.2607
2/18/05,18.1387,22.8048
2/22/05,14.1338,15.4806
2/23/05,21.877,18.0498
2/24/05,18.7024,18.2378
2/25/05,22.9069,21.1621
2/28/05,15.7336,19.1143
3/1/05,17.911,18.8505
3/2/05,21.0256,18.2234
3/3/05,37.2966,25.4111
3/4/05,61.3351,39.8858
3/7/05,83.7688,60.8002
3/8/05,84.9186,76.6742
3/9/05,57.6583,75.4486
3/10/05,33.8182,58.7984
3/11/05,12.4056,34.6274
3/14/05,15.6688,20.6309
3/15/05,13.0863,13.7202
3/16/05,34.8666,21.2072
3/17/05,53.3472,33.7667
3/18/05,68.4451,52.2196
3/21/05,59.7314,60.5079
3/22/05,35.2822,54.4862
3/23/05,19.7365,38.25
3/24/05,18.3541,24.4576
3/28/05,22.2188,20.1031
3/29/05,27.3133,22.6287
3/30/05,47.8261,32.4527
3/31/05,76.3787,50.506
4/1/05,92.7445,72.3164
4/4/05,88.0661,85.7298
4/5/05,75.847,85.5525
4/6/05,63.6739,75.8623
4/7/05,39.9209,59.8139
4/8/05,33.9063,45.8337
4/11/05,45.6693,39.8321
4/12/05,74.1006,51.2254
4/13/05,87.391,69.0536
4/14/05,93.5484,85.0133
4/15/05,93.5484,91.4959
4/18/05,93.5123,93.5363
4/19/05,94.5875,93.8827
4/20/05,94.2575,94.1191
4/21/05,84.1144,90.9865
4/22/05,78.9292,85.767
4/25/05,66.1531,76.3989
4/26/05,56.2185,67.1003
4/27/05,37.5941,53.3219
4/28/05,50.7003,48.171
4/29/05,61.1632,49.8192
5/2/05,60.5103,57.4579
5/3/05,35.177,52.2835
5/4/05,24.3978,40.0284
5/5/05,25.4194,28.3314
5/6/05,25.3047,25.0406
5/9/05,28.7534,26.4925
5/10/05,51.1686,35.0756
5/11/05,67.2315,49.0512
5/12/05,79.5569,65.9857
5/13/05,71.2492,72.6792
5/16/05,67.301,72.7023
5/17/05,67.6667,68.7389
5/18/05,60.3333,65.1003
5/19/05,49.2222,59.0741
5/20/05,47.6389,52.3981
