0,1,2
8/7/02,72.1702,82.808
8/8/02,58.8696,71.0649
8/9/02,71.2056,67.4151
8/12/02,71.7359,67.2704
8/13/02,85.0529,75.9981
8/14/02,76.8297,77.8728
8/15/02,73.2134,78.3653
8/16/02,44.9725,65.0052
8/19/02,26.2364,48.1408
8/20/02,25.2724,32.1605
8/21/02,42.9329,31.4806
8/22/02,43.0044,37.0699
8/23/02,51.809,45.9154
8/26/02,56.4834,50.4323
8/27/02,61.0522,56.4482
8/28/02,59.425,58.9869
8/29/02,61.802,60.7597
8/30/02,83.2573,68.1614
9/3/02,93.1123,79.3905
9/4/02,95.3424,90.5707
9/5/02,94.032,94.1623
9/6/02,76.0017,88.4587
9/9/02,53.1291,74.3876
9/10/02,37.1212,55.4174
9/11/02,31.2919,40.5141
9/12/02,52.8659,40.4263
9/13/02,68.6124,50.9234
9/16/02,88.5585,70.0123
9/17/02,90.7976,82.6562
9/18/02,86.2154,88.5238
9/19/02,89.0808,88.6979
9/20/02,80.8231,85.3731
9/23/02,85.3584,85.0874
9/24/02,81.8927,82.6914
9/25/02,68.8904,78.7138
9/26/02,48.912,66.565
9/27/02,40.5503,52.7842
9/30/02,56.9385,48.8003
10/1/02,50.8693,49.4527
10/2/02,42.6386,50.1488
10/3/02,23.856,39.1213
10/4/02,33.8525,33.449
10/7/02,48.5485,35.419
10/8/02,62.0061,48.1357
10/9/02,74.7218,61.7588
10/10/02,64.1509,66.9596
10/11/02,48.204,62.3589
10/14/02,23.2628,45.2059
10/15/02,6.9894,26.152
10/16/02,5.0677,11.7733
10/17/02,3.1357,5.0642
10/18/02,11.5659,6.5897
10/21/02,12.0213,8.9076
10/22/02,12.4992,12.0288
10/23/02,7.5113,10.6773
10/24/02,26.3521,15.4542
10/25/02,53.7404,29.2013
10/28/02,75.433,51.8418
10/29/02,80.8873,70.0202
10/30/02,79.1876,78.5026
10/31/02,84.2421,81.439
11/1/02,72.1061,78.5119
11/4/02,52.2415,69.5299
11/5/02,25.2342,49.8606
11/6/02,21.7565,33.0774
11/7/02,48.1454,31.712
11/8/02,76.3462,48.7493
11/11/02,98.1283,74.2066
11/12/02,92.3107,88.9284
11/13/02,86.2114,92.2168
11/14/02,52.878,77.1334
11/15/02,35.1662,58.0852
11/18/02,24.1061,37.3835
11/19/02,45.5053,34.9259
11/20/02,47.5457,39.0524
11/21/02,36.9003,43.3171
11/22/02,18.0328,34.1596
11/25/02,7.2859,20.7397
11/26/02,19.607,14.9752
11/27/02,17.7226,14.8718
11/29/02,26.1721,21.1672
12/2/02,22.8539,22.2495
12/3/02,36.26,28.4287
12/4/02,51.9425,37.0188
12/5/02,68.5473,52.2499
12/6/02,77.3963,65.962
12/9/02,78.0553,74.6663
12/10/02,78.299,77.9169
12/11/02,86.0799,80.8114
12/12/02,88.763,84.3807
12/13/02,67.3629,80.7353
12/16/02,37.4162,64.5141
12/17/02,12.2289,39.0027
12/18/02,19.2249,22.9566
12/19/02,48.6908,26.7149
12/20/02,75.4486,47.7881
12/23/02,90.8409,71.6601
12/24/02,90.5108,85.6001
12/26/02,93.338,91.5632
12/27/02,96.1749,93.3412
12/30/02,99.6357,96.3828
12/31/02,84.1667,93.3257
1/2/03,51.5812,78.4612
1/3/03,24.4383,53.3954
1/6/03,11.105,29.0415
1/7/03,17.4594,17.6676
1/8/03,30.0887,19.551
1/9/03,30.639,26.0624
1/10/03,31.7129,30.8135
1/13/03,23.2704,28.5408
1/14/03,33.6478,29.5437
1/15/03,52.8527,36.5903
1/16/03,72.0112,52.8372
1/17/03,84.9965,69.9534
1/21/03,90.9489,82.6522
1/22/03,94.454,90.1331
1/23/03,93.1287,92.8438
1/24/03,83.5758,90.3861
1/27/03,67.8113,81.5053
1/28/03,54.7385,68.7085
1/29/03,44.6396,55.7298
1/30/03,45.2736,48.2172
1/31/03,60.4209,50.1114
2/3/03,70.1627,58.6191
2/4/03,82.2523,70.9453
2/5/03,61.9651,71.46
2/6/03,60.3642,68.1939
2/7/03,56.9829,59.7707
2/10/03,58.1525,58.4999
2/11/03,45.5163,53.5506
2/12/03,39.0811,47.5833
2/13/03,51.0841,45.2272
2/14/03,49.1359,46.4337
2/18/03,39.4596,46.5599
2/19/03,39.1222,42.5725
2/20/03,58.6957,45.7591
2/21/03,68.7012,55.5063
2/24/03,76.8116,68.0695
2/25/03,71.2963,72.2697
2/26/03,84.1168,77.4082
2/27/03,86.2776,80.5636
2/28/03,97.0993,89.1646
3/3/03,90.6058,91.3276
3/4/03,86.5358,91.4137
3/5/03,86.9935,88.0451
3/6/03,80.4567,84.662
3/7/03,77.5,81.6501
3/10/03,78.2576,78.7381
3/11/03,82.6569,79.4715
3/12/03,87.2978,82.7374
3/13/03,53.9645,74.6397
3/14/03,37.2331,59.4985
3/17/03,8.2377,33.1451
3/18/03,8.5362,18.0023
3/19/03,1.1921,5.9887
3/20/03,5.2694,4.9993
3/21/03,4.9709,3.8108
3/24/03,18.7355,9.6586
3/25/03,35.1836,19.63
3/26/03,60.4468,38.122
3/27/03,73.5278,56.386
3/28/03,77.1259,70.3668
3/31/03,84.7035,78.4524
4/1/03,77.4691,79.7662
4/2/03,54.493,72.2218
4/3/03,24.6318,52.1979
4/4/03,7.1579,28.7609
4/7/03,16.5451,16.1116
4/8/03,44.09,22.5977
4/9/03,73.8,44.8117
4/10/03,88.4281,68.7727
4/11/03,80.9278,81.052
4/14/03,59.7397,76.3652
4/15/03,57.9322,66.1999
4/16/03,66.9692,61.547
4/17/03,81.4658,68.7891
4/21/03,79.3428,75.9259
4/22/03,64.6837,75.1641
4/23/03,58.4916,67.506
4/24/03,65.1236,62.7663
4/25/03,77.7941,67.1365
4/28/03,84.4257,75.7812
4/29/03,79.1836,80.4678
4/30/03,80.5,81.3698
5/1/03,72.5069,77.3968
5/2/03,50.8712,67.9594
5/5/03,33.5299,52.3027
5/6/03,39.8246,41.4086
5/7/03,70.9658,48.1068
5/8/03,85.1898,65.3267
5/9/03,90.0487,82.0681
5/12/03,90.4883,88.5756
5/13/03,95.1199,91.8856
5/14/03,96.3127,93.9736
5/15/03,91.5698,94.3341
5/16/03,91.5598,93.1474
5/19/03,86.1065,89.7454
5/20/03,91.3488,89.6717
5/21/03,82.0939,86.5164
5/22/03,89.2141,87.5523
5/23/03,85.3306,85.5462
5/27/03,72.4797,82.3415
5/28/03,47.7086,68.5063
5/29/03,35.1553,51.7812
5/30/03,39.1954,40.6864
6/2/03,37.0676,37.1395
6/3/03,42.9781,39.7471
6/4/03,56.4156,45.4871
6/5/03,61.4069,53.6002
6/6/03,53.8837,57.2354
6/9/03,48.7853,54.692
6/10/03,71.3917,58.0202
6/11/03,80.9526,67.0432
6/12/03,89.1292,80.4911
6/13/03,88.4139,86.1652
6/16/03,78.8845,85.4759
6/17/03,49.0162,72.1049
6/18/03,17.561,48.4872
6/19/03,7.0533,24.5435
6/20/03,10.762,11.7921
6/23/03,24.2088,14.008
6/24/03,52.7344,29.2351
6/25/03,56.0874,44.3435
6/26/03,44.6395,51.1538
6/27/03,15.7054,38.8108
6/30/03,15.2061,25.1837
7/1/03,13.9441,14.9519
