timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,,WVAD,RSI,,TEDRATE,TradeWeightedUSDollarIndex,VIX close
2/18/00,135.3125,138.875,138.875,134.625,9409200,15.7908,25.6017,140.6413,138.6344,140.1391,1399.563,-93.0818,37.6036,34.0394,0.53,116.7601,26
2/22/00,134.9687,135.1875,136.3437,133.5312,16415400,13.6081,19.3693,140.101,137.7281,139.3984,1392.356,-86.9689,37.0741,35.9476,0.51,116.5022,25.86
2/23/00,136.5625,135.625,137.4687,134.5,12119000,23.3515,17.5835,139.764,136.825,138.6234,1384.253,-72.5209,41.2072,38.627,0.47,116.7362,23.89
2/24/00,133.8125,136.6875,137.0312,133.0937,17375000,23.1385,20.0327,139.1972,135.7875,137.8766,1378.425,-93.7326,36.725,37.199,0.48,116.8841,24.38
2/25/00,133.3281,135.1875,136.7187,133.125,10559900,18.2569,21.5823,138.6383,134.7969,137.0531,1370.078,-97.9563,35.9826,33.5109,0.48,117.079,25.2
2/28/00,136.125,133.375,136.6875,132.7187,13397800,28.5179,23.3044,138.3989,134.9594,136.7969,1366.171,-71.2398,43.1314,38.3305,0.47,117.1454,24.68
2/29/00,137.4375,136.0625,137.4375,135.75,8242500,58.3696,35.0481,138.3073,135.4531,136.5906,1363.819,-59.84,46.1693,43.8151,0.49,117.2511,23.37
3/1/00,138.4375,137.625,139,137.2187,6868000,87.3665,58.0846,138.3197,135.8281,136.3266,1361.533,-41.9046,48.4296,47.3224,0.51,116.6341,21.64
3/2/00,138.5312,138.6875,139.125,137.3437,7600200,93.7063,79.8141,138.3399,136.7719,136.2797,1360.942,-36.9495,48.6472,48.0256,0.52,116.9508,21.06
3/3/00,141.125,140.4375,141.7187,139.7187,12770300,91.7264,90.9331,138.6051,138.3312,136.5641,1363.033,-6.5967,54.3849,54.935,0.49,116.9006,19.21
3/6/00,139.75,140.8125,141.3437,138.75,11967100,83.7169,89.7165,138.7142,139.0562,137.0078,1367.552,-21.8745,51.1239,50.2405,0.46,117.0276,21.5
3/7/00,137.0468,140,140.1562,135.2187,20062000,62.848,79.4304,138.5554,138.9781,137.2156,1367.897,-51.9101,45.3649,42.4528,0.46,116.8069,24.31
3/8/00,136.875,136.4687,137.8437,135.0312,11808500,40.9038,62.4896,138.3953,138.6656,137.2469,1368.498,-53.8189,45.0178,45.2905,0.46,116.8933,23.82
3/9/00,140.875,137.25,140.875,136.125,5500900,47.6931,50.4816,138.6315,139.1344,137.9531,1373.324,-9.3745,53.8678,53.1474,0.48,116.5318,22.21
3/10/00,140.125,140.1875,142,139.5312,7924600,62.683,50.4266,138.7737,138.9344,138.6328,1379.495,-20.2019,52.1721,51.6365,0.44,116.5874,21.24
3/13/00,138.5937,136.6875,140.4687,135.6875,10540500,70.533,60.303,138.7566,138.7031,138.8797,1383.052,-36.7007,48.7948,49.0397,0.44,116.5693,22.85
3/14/00,136.625,139.2812,140.0937,136.1562,8263900,49.0285,60.7482,138.5536,138.6187,138.7984,1382.325,-57.9122,44.7812,43.9524,0.45,116.5311,24.41
3/15/00,139.8125,136.875,140.4375,136.0625,10300800,46.4459,55.3358,138.6735,139.2062,138.9359,1383.62,-23.5689,51.7074,51.289,0.48,116.6508,22.34
3/16/00,146.3437,141.625,146.8437,140.875,25601400,61.2451,52.2398,139.404,140.3,139.7172,1391.291,-3.5398,62.1763,62.0464,0.49,116.6462,20.77
3/17/00,146.9375,145.8125,148,145.4375,10272900,84.0784,63.9231,140.1215,141.6625,140.2984,1396.821,-8.1927,62.9624,62.8457,0.49,116.7579,22.37
3/20/00,146.1875,146.875,147.3437,144.7812,12502300,90.5685,78.6307,140.6992,143.1812,140.9422,1403.356,-13.9759,61.2314,61.0368,0.49,116.775,22.96
3/21/00,149.1875,145.5312,149.75,144.5,13612600,90.6926,88.4465,141.5076,145.6937,142.1562,1417.181,-3.8216,65.3367,66.0373,0.5,116.7355,21.7
3/22/00,150.0937,149.5625,150.8437,148.6875,8260000,91.0612,90.7741,142.3253,147.75,143.4781,1430.575,-4.7431,66.491,66.8697,0.51,116.9506,21.49
3/23/00,152.6562,149.1562,153.4687,149.1562,11654500,93.1025,91.6188,143.3092,149.0125,144.6562,1443.141,-4.4068,69.5761,69.9944,0.52,116.7446,22.26
3/24/00,153.5625,152.875,155.75,151.7187,11462900,87.9909,90.7182,144.2857,150.3375,146,1456.38,-10.558,70.6069,70.007,0.51,116.4094,23.31
3/27/00,151.9375,153.375,153.7812,151.8125,8798600,79.2025,86.7653,145.0144,151.4875,147.3344,1470.404,-18.4012,66.2714,68.9903,0.59,116.5465,24.53
3/28/00,151.0625,151.25,152.9843,150.5937,6334400,60.0983,75.7639,145.5905,151.8625,148.7781,1485.262,-23.3645,63.9929,64.4723,0.56,116.3548,24.86
3/29/00,151.2187,151.5625,152.4843,149.6562,6747500,43.6729,60.9912,146.1265,152.0875,149.9187,1496.9,-22.5859,64.2293,64.5946,0.55,116.6044,24.1
3/30/00,148.6875,150.1562,151.9218,147.125,9491900,27.6746,43.8153,146.3704,151.2937,150.1531,1499.845,-35.2025,57.6258,58.9011,0.58,116.5396,25.47
3/31/00,150.375,149.625,152.3125,148.4375,9249100,32.7407,34.6961,146.7518,150.6562,150.4969,1503.256,-27.3016,60.5386,60.8254,0.57,116.0939,24.11
4/3/00,151.25,150.125,151.25,148.6875,8508200,45.7812,35.3988,147.1802,150.5187,151.0031,1508.19,-22.8571,61.9974,62.1485,0.6,116.4968,24.03
4/4/00,150.125,151.75,153,141.3906,19585500,64.821,47.781,147.4606,150.3312,151.0969,1508.276,-37.8151,58.9786,58.8906,0.62,116.5227,27.12
4/5/00,149.1875,147.875,150.8125,147.625,8387200,70.9323,60.5115,147.6251,149.925,151.0062,1506.949,-45.7018,56.5093,56.7912,0.57,116.5237,28.41
