0,1,2,K,Capacity (n choose k),,
0.324212379,18,0.5,9,48620,,
0.324212292,22,0.5,11,705432,,
0.324212368,26,0.5,13,10400600,,
0.324212449,30,0.5,15,155117520,,
0.324212379,32,0.5,16,601080390,,
0.324212427,36,0.5,18,9075135300,,
0.324212454,40,0.5,20,1.37847E+11,,
0.324212519,44,0.5,22,2.1041E+12,,
0.324212429,48,0.5,24,3.22476E+13,,
0.324212419,52,0.5,26,4.95919E+14,,
0.324212469,56,0.5,28,7.64869E+15,,
0.324212517,60,0.5,30,1.18265E+17,,
0.324212369,64,0.5,32,1.83262E+18,,
0.324212309,68,0.5,34,2.8453E+19,,
0.324212425,72,0.5,36,4.42513E+20,,
,,,,,,
0.324212408,18,0.25,4.5,3060,,
0.324212549,22,0.25,5.5,26334,,
0.324212468,26,0.25,6.5,230230,,
0.324212344,30,0.25,7.5,2035800,,
0.324212416,32,0.25,8,10518300,,
0.324212391,36,0.25,9,94143280,,
0.324212502,40,0.25,10,847660528,,
0.324212458,44,0.25,11,7669339132,,
0.324212377,48,0.25,12,69668534468,,
0.324212392,52,0.25,13,6.35014E+11,,
0.324212482,56,0.25,14,5.80473E+12,,
0.324212486,60,0.25,15,5.31941E+13,,
0.324212333,64,0.25,16,4.88527E+14,,
0.324212417,68,0.25,17,4.49515E+15,,
0.324212363,72,0.25,18,4.14321E+16,,
,,,,,,
0.324212166,18,0.125,2.25,153,,
0.324212411,22,0.125,2.75,231,,
0.324212447,26,0.125,3.25,2600,,
0.324212517,30,0.125,3.75,4060,,
0.324212431,32,0.125,4,35960,,
0.324212479,36,0.125,4.5,58905,,
0.324212358,40,0.125,5,658008,,
0.324212458,44,0.125,5.5,1086008,,
0.324212464,48,0.125,6,12271512,,
0.324212289,52,0.125,6.5,20358520,,
0.324212423,56,0.125,7,231917400,,
0.324212513,60,0.125,7.5,386206920,,
0.324212385,64,0.125,8,4426165368,,
0.324212333,68,0.125,8.5,7392009768,,
0.324212353,72,0.125,9,85113005120,,
,,,,,,
0.32421225,18,0.1,1.8,18,-2.226110196,
0.324212273,22,0.1,2.2,231,-23.6423246,
0.324212509,26,0.1,2.6,325,17.5841928,
0.324212333,30,0.1,3,4060,7.238495697,
0.324212261,32,0.1,3.2,4960,-17.0226334,
0.324212431,36,0.1,3.6,7140,-0.379319404,
0.324212435,40,0.1,4,91390,2.883774802,
0.324212406,44,0.1,4.4,135751,-2.409170097,
0.32421243,48,0.1,4.8,194580,4.902904799,
0.324212381,52,0.1,5.2,2598960,6.673879099,
0.324212314,56,0.1,5.6,3819816,-12.4808418,
0.324212439,60,0.1,6,50063860,12.0480268,
0.324212319,64,0.1,6.4,74974368,-9.610373902,
0.324212415,68,0.1,6.8,109453344,7.440939304,
0.32421234,72,0.1,7.2,1473109704,32421234.05,
,,,,,,
0.324212254,18,0.075,1.35,18,,
0.324212265,22,0.075,1.65,22,-0.0000000114645209992048,-1.1464521
0.324212426,26,0.075,1.95,26,-0.0000001605706609897340,-16.0570661
0.324212355,30,0.075,2.25,435,0.0000000709696459932907,7.096964599
0.324212414,32,0.075,2.4,496,-0.0000000592542449551203,-5.925424496
0.324212401,36,0.075,2.7,630,0.0000000125190690036803,1.2519069
0.324212521,40,0.075,3,9880,-0.0000001194702380358240,-11.9470238
0.324212381,44,0.075,3.3,13244,0.0000001401169160142320,14.0116916
0.324212411,48,0.075,3.6,17296,-0.0000000307069130123239,-3.070691301
0.324212372,52,0.075,3.9,22100,0.0000000395500729943876,3.955007299
0.32421249,56,0.075,4.2,367290,-0.0000001181408109673930,-11.8140811
0.324212368,60,0.075,4.5,487635,0.0000001221292449948840,12.2129245
0.324212328,64,0.075,4.8,635376,0.0000000403176209640144,4.031762096
0.32421233,68,0.075,5.1,10424128,-0.0000000024391959563275,-0.243919596
0.32421236,72,0.075,5.4,13991544,-0.0000000302309610122897,-3.023096101
,,,,,,
0.324212363,18,0.05,0.9,1,,
0.324212344,22,0.05,1.1,22,,
0.324212227,26,0.05,1.3,26,,
0.324212329,30,0.05,1.5,30,,
0.324212447,32,0.05,1.6,32,,
0.324212358,36,0.05,1.8,36,,
0.324212623,40,0.05,2,780,,
0.32421252,44,0.05,2.2,946,,
0.324212381,48,0.05,2.4,1128,,
0.324212413,52,0.05,2.6,1326,,
0.324212527,56,0.05,2.8,1540,,
0.324212451,60,0.05,3,34220,,
0.324212339,64,0.05,3.2,41664,,
0.324212375,68,0.05,3.4,50116,,
0.324212343,72,0.05,3.6,59640,,
,,,,,,
0.324212431,18,0.0375,0.675,1,,
0.324212307,22,0.0375,0.825,1,,
0.324212537,26,0.0375,0.975,1,,
0.324212533,30,0.0375,1.125,30,,
0.324212315,32,0.0375,1.2,32,,
0.324212389,36,0.0375,1.35,36,,
0.324212348,40,0.0375,1.5,40,,
0.324212303,44,0.0375,1.65,44,,
0.324212431,48,0.0375,1.8,48,,
0.324212249,52,0.0375,1.95,52,,
0.324212279,56,0.0375,2.1,1540,,
0.324212344,60,0.0375,2.25,1770,,
0.324212338,64,0.0375,2.4,2016,,
0.324212219,68,0.0375,2.55,2278,,
0.324212307,72,0.0375,2.7,2556,,
,,,,,,
0.324212229,18,0.01875,0.3375,1,,
0.324212151,22,0.01875,0.4125,1,,
0.324212372,26,0.01875,0.4875,1,,
0.324212177,30,0.01875,0.5625,1,,
0.324212267,32,0.01875,0.6,1,,
0.324212353,36,0.01875,0.675,1,,
0.324212223,40,0.01875,0.75,1,,
0.324212215,44,0.01875,0.825,1,,
0.324212308,48,0.01875,0.9,1,,
0.324212235,52,0.01875,0.975,1,,
0.324212324,56,0.01875,1.05,56,,
0.324212222,60,0.01875,1.125,60,,
0.324212178,64,0.01875,1.2,64,,
0.324212316,68,0.01875,1.275,68,,
0.32421222,72,0.01875,1.35,72,,
,,,,,,
0.324212135,18,0.009375,0.16875,1,,
0.32421214,22,0.009375,0.20625,1,,
0.324212138,26,0.009375,0.24375,1,,
0.324212173,30,0.009375,0.28125,1,,
0.324212192,32,0.009375,0.3,1,,
0.324212325,36,0.009375,0.3375,1,,
0.324212256,40,0.009375,0.375,1,,
0.324212194,44,0.009375,0.4125,1,,
0.32421218,48,0.009375,0.45,1,,
0.324212117,52,0.009375,0.4875,1,,
0.324212179,56,0.009375,0.525,1,,
0.324212185,60,0.009375,0.5625,1,,
0.324212246,64,0.009375,0.6,1,,
0.324212293,68,0.009375,0.6375,1,,
0.32421226,72,0.009375,0.675,1,,
,,,,,,
0,1,2,K,Capacity (n choose k),,
0.324212623,40,0.05,2,780,,
0.324212549,22,0.25,5.5,26334,,
0.324212537,26,0.0375,0.975,1,,
0.324212533,30,0.0375,1.125,30,,
0.324212527,56,0.05,2.8,1540,,
0.324212521,40,0.075,3,9880,,
0.32421252,44,0.05,2.2,946,,
0.324212519,44,0.5,22,2.1041E+12,,
0.324212517,30,0.125,3.75,4060,,
0.324212517,60,0.5,30,1.18265E+17,,
0.324212513,60,0.125,7.5,386206920,,
0.324212509,26,0.1,2.6,325,,
0.324212502,40,0.25,10,847660528,,
0.32421249,56,0.075,4.2,367290,,
0.324212486,60,0.25,15,5.31941E+13,,
0.324212482,56,0.25,14,5.80473E+12,,
0.324212479,36,0.125,4.5,58905,,
0.324212469,56,0.5,28,7.64869E+15,,
0.324212468,26,0.25,6.5,230230,,
0.324212464,48,0.125,6,12271512,,
0.324212458,44,0.25,11,7669339132,,
0.324212458,44,0.125,5.5,1086008,,
0.324212454,40,0.5,20,1.37847E+11,,
0.324212451,60,0.05,3,34220,,
0.324212449,30,0.5,15,155117520,,
0.324212447,32,0.05,1.6,32,,
0.324212447,26,0.125,3.25,2600,,
0.324212439,60,0.1,6,50063860,,
0.324212435,40,0.1,4,91390,,
0.324212431,36,0.1,3.6,7140,,
0.324212431,18,0.0375,0.675,1,,
0.324212431,48,0.0375,1.8,48,,
0.324212431,32,0.125,4,35960,,
0.32421243,48,0.1,4.8,194580,,
0.324212429,48,0.5,24,3.22476E+13,,
0.324212427,36,0.5,18,9075135300,,
0.324212426,26,0.075,1.95,26,,
0.324212425,72,0.5,36,4.42513E+20,,
0.324212423,56,0.125,7,231917400,,
0.324212419,52,0.5,26,4.95919E+14,,
0.324212417,68,0.25,17,4.49515E+15,,
0.324212416,32,0.25,8,10518300,,
0.324212415,68,0.1,6.8,109453344,,
0.324212414,32,0.075,2.4,496,,
0.324212413,52,0.05,2.6,1326,,
0.324212411,48,0.075,3.6,17296,,
0.324212411,22,0.125,2.75,231,,
0.324212408,18,0.25,4.5,3060,,
0.324212406,44,0.1,4.4,135751,,
0.324212401,36,0.075,2.7,630,,
0.324212392,52,0.25,13,6.35014E+11,,
0.324212391,36,0.25,9,94143280,,
0.324212389,36,0.0375,1.35,36,,
0.324212385,64,0.125,8,4426165368,,
0.324212381,52,0.1,5.2,2598960,,
0.324212381,48,0.05,2.4,1128,,
0.324212381,44,0.075,3.3,13244,,
0.324212379,32,0.5,16,601080390,,
0.324212379,18,0.5,9,48620,,
0.324212377,48,0.25,12,69668534468,,
0.324212375,68,0.05,3.4,50116,,
0.324212372,26,0.01875,0.4875,1,,
0.324212372,52,0.075,3.9,22100,,
0.324212369,64,0.5,32,1.83262E+18,,
0.324212368,26,0.5,13,10400600,,
0.324212368,60,0.075,4.5,487635,,
0.324212363,18,0.05,0.9,1,,
0.324212363,72,0.25,18,4.14321E+16,,
0.32421236,72,0.075,5.4,13991544,,
0.324212358,40,0.125,5,658008,,
0.324212358,36,0.05,1.8,36,,
0.324212355,30,0.075,2.25,435,,
0.324212353,36,0.01875,0.675,1,,
0.324212353,72,0.125,9,85113005120,,
0.324212348,40,0.0375,1.5,40,,
0.324212344,30,0.25,7.5,2035800,,
0.324212344,60,0.0375,2.25,1770,,
0.324212344,22,0.05,1.1,22,,
0.324212343,72,0.05,3.6,59640,,
0.32421234,72,0.1,7.2,1473109704,,
0.324212339,64,0.05,3.2,41664,,
0.324212338,64,0.0375,2.4,2016,,
0.324212333,30,0.1,3,4060,,
0.324212333,64,0.25,16,4.88527E+14,,
0.324212333,68,0.125,8.5,7392009768,,
0.32421233,68,0.075,5.1,10424128,,
0.324212329,30,0.05,1.5,30,,
0.324212328,64,0.075,4.8,635376,,
0.324212325,36,0.009375,0.3375,1,,
0.324212324,56,0.01875,1.05,56,,
0.324212319,64,0.1,6.4,74974368,,
0.324212316,68,0.01875,1.275,68,,
0.324212315,32,0.0375,1.2,32,,
0.324212314,56,0.1,5.6,3819816,,
0.324212309,68,0.5,34,2.8453E+19,,
0.324212308,48,0.01875,0.9,1,,
0.324212307,22,0.0375,0.825,1,,
0.324212307,72,0.0375,2.7,2556,,
0.324212303,44,0.0375,1.65,44,,
0.324212293,68,0.009375,0.6375,1,,
0.324212292,22,0.5,11,705432,,
0.324212289,52,0.125,6.5,20358520,,
0.324212279,56,0.0375,2.1,1540,,
0.324212273,22,0.1,2.2,231,,
0.324212267,32,0.01875,0.6,1,,
0.324212265,22,0.075,1.65,22,,
0.324212261,32,0.1,3.2,4960,,
0.32421226,72,0.009375,0.675,1,,
0.324212256,40,0.009375,0.375,1,,
0.324212254,18,0.075,1.35,18,,
0.32421225,18,0.1,1.8,18,,
0.324212249,52,0.0375,1.95,52,,
0.324212246,64,0.009375,0.6,1,,
0.324212235,52,0.01875,0.975,1,,
0.324212229,18,0.01875,0.3375,1,,
0.324212227,26,0.05,1.3,26,,
0.324212223,40,0.01875,0.75,1,,
0.324212222,60,0.01875,1.125,60,,
0.32421222,72,0.01875,1.35,72,,
0.324212219,68,0.0375,2.55,2278,,
0.324212215,44,0.01875,0.825,1,,
0.324212194,44,0.009375,0.4125,1,,
0.324212192,32,0.009375,0.3,1,,
0.324212185,60,0.009375,0.5625,1,,
0.32421218,48,0.009375,0.45,1,,
0.324212179,56,0.009375,0.525,1,,
0.324212178,64,0.01875,1.2,64,,
0.324212177,30,0.01875,0.5625,1,,
0.324212173,30,0.009375,0.28125,1,,
0.324212166,18,0.125,2.25,153,,
0.324212151,22,0.01875,0.4125,1,,
0.32421214,22,0.009375,0.20625,1,,
0.324212138,26,0.009375,0.24375,1,,
0.324212135,18,0.009375,0.16875,1,,
