timestamp,close,open,high,low,EMA20,MA5,MA10,SlowK,SlowD,WVAD
1/2/01,1283.27,1320.28,1320.28,1276.05,1323.9012,1316.376,1305.577,59.6011,78.0484,-77.8368
1/3/01,1347.5601,1283.27,1347.76,1274.62,1326.1544,1322.85,1308.059,60.2063,69.2182,-29.0398
1/4/01,1333.34,1347.5601,1350.24,1329.14,1326.8387,1323.734,1310.833,62.8835,60.897,-25.1605
1/5/01,1298.35,1333.34,1334.77,1294.95,1324.1255,1316.56,1314.194,69.5862,64.2253,-53.9565
1/8/01,1295.86,1298.35,1298.35,1276.29,1321.4336,1311.676,1316.294,45.7066,59.3921,-56.5457
1/9/01,1300.8,1295.86,1311.72,1295.14,1319.4685,1315.182,1315.779,31.363,48.8852,-51.4089
1/10/01,1313.27,1300.8,1313.76,1287.28,1318.8781,1308.324,1315.587,37.5717,38.2138,-38.4423
1/11/01,1326.8199,1313.27,1332.1899,1309.72,1319.6345,1307.02,1315.377,57.0109,41.9819,-24.3527
1/12/01,1318.55,1326.8199,1333.21,1311.59,1319.5312,1311.06,1313.81,70.219,54.9339,-41.9068
1/16/01,1326.65,1318.3199,1327.8101,1313.33,1320.2092,1317.218,1314.447,82.1226,69.7842,-31.1954
1/17/01,1329.47,1326.65,1346.92,1325.41,1321.0912,1322.952,1319.067,76.9011,76.4142,-27.4663
1/18/01,1347.97,1329.89,1352.71,1327.41,1323.6511,1329.892,1319.108,81.8109,80.2782,-6.0699
1/19/01,1342.54,1347.97,1354.55,1336.74,1325.45,1333.036,1320.028,77.253,78.655,-15.0256
1/22/01,1342.9,1342.54,1353.62,1333.84,1327.1119,1337.906,1324.483,77.585,78.883,-14.5753
1/23/01,1360.4,1342.9,1362.9,1339.63,1330.2822,1344.656,1330.937,79.0375,77.9585,-2.8319
1/24/01,1364.3,1360.4,1369.75,1357.28,1333.522,1351.622,1337.287,84.0656,80.2293,-5.8313
1/25/01,1357.51,1364.3,1367.35,1354.63,1335.8066,1353.53,1341.711,82.1248,81.7426,-13.0965
1/26/01,1354.95,1357.51,1357.51,1342.75,1337.6298,1356.012,1344.524,70.6096,78.9333,-15.8357
1/29/01,1364.17,1354.92,1365.54,1350.36,1340.1574,1360.266,1349.086,68.7249,73.8198,-6.766
1/30/01,1373.73,1364.17,1375.6801,1356.2,1343.3548,1362.932,1353.794,78.1127,72.4824,-2.206
1/31/01,1366.01,1373.73,1383.37,1364.66,1345.5124,1363.274,1357.448,77.6049,74.8142,-23.5709
2/1/01,1373.47,1366.01,1373.5,1359.34,1348.1751,1366.466,1359.998,75.6561,77.1246,-13.7922
